School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
KENNEWICK SCHOOL DISTRICT,2014-15,1468,93.7%,2.6%,1.5%,2.2%,1.0%,1.1%,0.1%,0.0%,96.6%,96.7%,96.7%,96.7%,96.9%,96.1%,1375,38,22,33,15,16,2,0,50,49,48,49,45,57
KENT SCHOOL DISTRICT,2014-15,2051,82.6%,2.9%,11.8%,2.8%,1.0%,1.8%,0.1%,0.0%,88.9%,88.8%,90.1%,88.1%,94.0%,88.6%,1694,59,241,57,20,36,3,0,228,229,203,245,124,234
KETTLE FALLS SCHOOL DISTRICT,2014-15,58,94.8%,1.7%,0.0%,3.4%,0.0%,0.0%,0.0%,3.4%,96.6%,96.6%,98.3%,98.3%,98.3%,94.8%,55,1,0,2,0,0,0,2,2,2,1,1,1,3
KIONA-BENTON CITY SCHOOL DISTRICT,2014-15,129,77.5%,0.8%,20.9%,0.8%,0.0%,0.8%,0.0%,0.0%,88.4%,88.4%,89.9%,89.9%,92.2%,89.1%,100,1,27,1,0,1,0,0,15,15,13,13,10,14
KITTITAS SCHOOL DISTRICT,2014-15,47,83.0%,2.1%,14.9%,0.0%,0.0%,0.0%,0.0%,0.0%,87.2%,87.2%,93.6%,89.4%,83.0%,91.5%,39,1,7,0,0,0,0,0,6,6,3,5,8,4
KLICKITAT SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA CENTER SCHOOL DISTRICT,2014-15,106,87.7%,1.9%,2.8%,7.5%,3.8%,3.8%,0.0%,0.0%,92.5%,92.5%,93.4%,92.5%,94.3%,92.5%,93,2,3,8,4,4,0,0,8,8,7,8,6,8
LA CONNER SCHOOL DISTRICT,2014-15,31,96.8%,0.0%,0.0%,3.2%,3.2%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.8%,30,0,0,1,1,0,0,0,0,0,0,0,0,1
LACROSSE SCHOOL DISTRICT,2014-15,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE CHELAN SCHOOL DISTRICT,2014-15,98,98.0%,1.0%,0.0%,1.0%,0.0%,0.0%,0.0%,1.0%,100.0%,100.0%,99.0%,100.0%,100.0%,99.0%,96,1,0,1,0,0,0,1,0,0,1,0,0,1
LAKE QUINAULT SCHOOL DISTRICT,2014-15,13,92.3%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.3%,92.3%,100.0%,92.3%,92.3%,100.0%,12,1,0,0,0,0,0,0,1,1,0,1,1,0
LAKE STEVENS SCHOOL DISTRICT,2014-15,660,78.6%,0.5%,16.5%,4.4%,1.1%,3.2%,0.2%,0.2%,85.5%,85.5%,84.1%,84.7%,91.7%,84.5%,519,3,109,29,7,21,1,1,96,96,105,101,55,102
LAKE WASHINGTON SCHOOL DISTRICT,2014-15,2258,69.5%,1.5%,25.4%,3.6%,1.2%,2.4%,0.1%,0.0%,80.6%,80.7%,80.3%,77.0%,86.6%,78.9%,1569,33,574,82,26,54,2,1,438,436,445,520,303,477
LAKEWOOD SCHOOL DISTRICT,2014-15,152,85.5%,2.6%,3.3%,8.6%,3.9%,4.6%,0.0%,0.7%,92.1%,92.1%,90.8%,91.4%,90.8%,87.5%,130,4,5,13,6,7,0,1,12,12,14,13,14,19
LAMONT SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY SCHOOL DISTRICT,2014-15,34,94.1%,2.9%,0.0%,2.9%,0.0%,2.9%,0.0%,0.0%,97.1%,97.1%,100.0%,100.0%,100.0%,97.1%,32,1,0,1,0,1,0,0,1,1,0,0,0,1
LIND SCHOOL DISTRICT,2014-15,15,86.7%,0.0%,6.7%,6.7%,0.0%,6.7%,0.0%,0.0%,93.3%,93.3%,93.3%,93.3%,93.3%,86.7%,13,0,1,1,0,1,0,0,1,1,1,1,1,2
LONGVIEW SCHOOL DISTRICT,2014-15,573,92.1%,3.0%,3.0%,1.9%,0.7%,1.2%,0.0%,0.0%,93.7%,93.9%,94.1%,93.9%,97.0%,94.4%,528,17,17,11,4,7,0,0,36,35,34,35,17,32
LOON LAKE SCHOOL DISTRICT,2014-15,14,42.9%,0.0%,7.1%,50.0%,0.0%,50.0%,0.0%,0.0%,42.9%,42.9%,42.9%,42.9%,50.0%,42.9%,6,0,1,7,0,7,0,0,8,8,8,8,7,8
LOPEZ SCHOOL DISTRICT,2014-15,22,72.7%,4.5%,4.5%,18.2%,18.2%,0.0%,0.0%,0.0%,86.4%,86.4%,90.9%,86.4%,81.8%,81.8%,16,1,1,4,4,0,0,0,3,3,2,3,4,4
LYLE SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYNDEN SCHOOL DISTRICT,2014-15,309,88.7%,1.3%,6.8%,3.2%,1.3%,1.6%,0.3%,0.0%,92.9%,92.9%,93.2%,92.2%,93.9%,90.9%,274,4,21,10,4,5,1,0,22,22,21,24,19,28
MABTON SCHOOL DISTRICT,2014-15,92,62.0%,1.1%,37.0%,0.0%,0.0%,0.0%,0.0%,0.0%,67.4%,67.4%,69.6%,66.3%,69.6%,68.5%,57,1,34,0,0,0,0,0,30,30,28,31,28,29
MANSFIELD SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANSON SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARY M KNIGHT SCHOOL DISTRICT,2014-15,12,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,100.0%,83.3%,10,0,2,0,0,0,0,0,2,2,2,2,0,2
MARY WALKER SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARYSVILLE SCHOOL DISTRICT,2014-15,852,86.9%,1.6%,5.3%,6.2%,2.0%,3.9%,0.4%,0.0%,91.7%,91.7%,91.9%,91.3%,93.4%,90.7%,740,14,45,53,17,33,3,0,71,71,69,74,56,79
MCCLEARY SCHOOL DISTRICT,2014-15,42,54.8%,0.0%,45.2%,0.0%,0.0%,0.0%,0.0%,0.0%,81.0%,81.0%,73.8%,71.4%,81.0%,71.4%,23,0,19,0,0,0,0,0,8,8,11,12,8,12
MEAD SCHOOL DISTRICT,2014-15,741,79.6%,3.1%,8.1%,9.2%,0.9%,8.0%,0.1%,0.1%,86.5%,86.5%,85.4%,86.1%,86.4%,84.6%,590,23,60,68,7,59,1,1,100,100,108,103,101,114
MEDICAL LAKE SCHOOL DISTRICT,2014-15,154,70.8%,2.6%,24.7%,1.9%,0.6%,1.3%,0.0%,0.0%,79.2%,79.2%,79.2%,77.3%,91.6%,77.9%,109,4,38,3,1,2,0,0,32,32,32,35,13,34
MERCER ISLAND SCHOOL DISTRICT,2014-15,346,87.3%,1.2%,4.6%,6.9%,2.0%,4.3%,0.6%,0.3%,96.2%,96.0%,95.4%,96.5%,94.5%,92.8%,302,4,16,24,7,15,2,1,13,14,16,12,19,25
MERIDIAN SCHOOL DISTRICT,2014-15,104,96.2%,0.0%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,96.2%,96.2%,96.2%,96.2%,97.1%,96.2%,100,0,4,0,0,0,0,0,4,4,4,4,3,4
METHOW VALLEY SCHOOL DISTRICT,2014-15,45,44.4%,0.0%,46.7%,8.9%,0.0%,8.9%,0.0%,0.0%,62.2%,62.2%,55.6%,60.0%,66.7%,51.1%,20,0,21,4,0,4,0,0,17,17,20,18,15,22
MILL A SCHOOL DISTRICT,2014-15,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE SCHOOL DISTRICT,2014-15,460,89.1%,2.4%,1.7%,6.7%,3.0%,3.9%,0.2%,0.0%,95.0%,95.0%,94.3%,93.7%,93.5%,91.7%,410,11,8,31,14,18,1,0,23,23,26,29,30,38
MONTESANO SCHOOL DISTRICT,2014-15,80,76.3%,0.0%,21.3%,2.5%,2.5%,0.0%,0.0%,0.0%,85.0%,85.0%,86.3%,77.5%,95.0%,85.0%,61,0,17,2,2,0,0,0,12,12,11,18,4,12
MORTON SCHOOL DISTRICT,2014-15,21,81.0%,0.0%,19.0%,0.0%,0.0%,0.0%,0.0%,0.0%,81.0%,81.0%,81.0%,81.0%,95.2%,81.0%,17,0,4,0,0,0,0,0,4,4,4,4,1,4
MOSES LAKE SCHOOL DISTRICT,2014-15,586,87.9%,1.2%,7.3%,3.6%,0.5%,2.7%,0.2%,0.2%,91.6%,91.6%,92.0%,92.3%,93.9%,91.0%,515,7,43,21,3,16,1,1,49,49,47,45,36,53
MOSSYROCK SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT ADAMS SCHOOL DISTRICT,2014-15,164,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,164,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT BAKER SCHOOL DISTRICT,2014-15,152,66.4%,1.3%,27.6%,4.6%,0.7%,3.9%,0.0%,0.0%,72.4%,72.4%,73.0%,73.7%,82.2%,71.7%,101,2,42,7,1,6,0,0,42,42,41,40,27,43
MOUNT PLEASANT SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT VERNON SCHOOL DISTRICT,2014-15,620,83.7%,2.6%,6.3%,7.4%,1.5%,5.0%,0.2%,0.8%,89.7%,89.7%,90.0%,88.1%,91.5%,88.9%,519,16,39,46,9,31,1,5,64,64,62,74,53,69
MUKILTEO SCHOOL DISTRICT,2014-15,1158,89.3%,0.1%,7.2%,3.5%,0.9%,2.4%,0.2%,0.0%,92.4%,99.4%,92.5%,92.3%,95.8%,91.5%,1034,1,83,40,10,28,2,0,88,7,87,89,49,99
NACHES VALLEY SCHOOL DISTRICT,2014-15,82,85.4%,1.2%,8.5%,4.9%,2.4%,2.4%,0.0%,0.0%,89.0%,89.0%,91.5%,89.0%,91.5%,91.5%,70,1,7,4,2,2,0,0,9,9,7,9,7,7
NAPAVINE SCHOOL DISTRICT,2014-15,56,96.4%,1.8%,0.0%,1.8%,0.0%,1.8%,0.0%,0.0%,96.4%,96.4%,96.4%,98.2%,100.0%,96.4%,54,1,0,1,0,1,0,0,2,2,2,1,0,2
NASELLE-GRAYS RIVER VALLEY SCHOOL DISTRICT,2014-15,30,80.0%,6.7%,6.7%,6.7%,6.7%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,24,2,2,2,2,0,0,0,0,0,0,0,0,0
NESPELEM SCHOOL DISTRICT,2014-15,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWPORT SCHOOL DISTRICT,2014-15,80,52.5%,1.3%,32.5%,13.8%,6.3%,7.5%,0.0%,0.0%,77.5%,77.5%,77.5%,73.8%,80.0%,58.8%,42,1,26,11,5,6,0,0,18,18,18,21,16,33
NINE MILE FALLS SCHOOL DISTRICT,2014-15,79,77.2%,1.3%,11.4%,10.1%,3.8%,5.1%,0.0%,1.3%,83.5%,83.5%,86.1%,83.5%,87.3%,82.3%,61,1,9,8,3,4,0,1,13,13,11,13,10,14
NOOKSACK VALLEY SCHOOL DISTRICT,2014-15,142,78.9%,2.8%,12.7%,5.6%,2.1%,4.2%,0.0%,0.0%,85.2%,85.2%,86.6%,84.5%,91.5%,83.8%,112,4,18,8,3,6,0,0,21,21,19,22,12,23
NORTH BEACH SCHOOL DISTRICT,2014-15,56,85.7%,0.0%,12.5%,1.8%,1.8%,0.0%,0.0%,0.0%,89.3%,89.3%,87.5%,89.3%,87.5%,87.5%,48,0,7,1,1,0,0,0,6,6,7,6,7,7
NORTH FRANKLIN SCHOOL DISTRICT,2014-15,165,84.8%,4.2%,10.9%,0.0%,0.0%,0.0%,0.0%,0.0%,89.7%,89.7%,90.3%,90.3%,94.5%,88.5%,140,7,18,0,0,0,0,0,17,17,16,16,9,19
NORTH KITSAP SCHOOL DISTRICT,2014-15,458,91.7%,1.5%,1.1%,5.7%,2.4%,3.1%,0.2%,0.0%,95.2%,95.2%,94.5%,94.5%,94.5%,93.0%,420,7,5,26,11,14,1,0,22,22,25,25,25,32
NORTH MASON SCHOOL DISTRICT,2014-15,162,79.0%,5.6%,11.1%,4.3%,0.0%,3.7%,0.6%,0.0%,84.0%,84.0%,88.3%,85.8%,91.4%,87.0%,128,9,18,7,0,6,1,0,26,26,19,23,14,21
NORTH RIVER SCHOOL DISTRICT,2014-15,5,40.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,40.0%,40.0%,60.0%,40.0%,2,0,3,0,0,0,0,0,3,3,3,3,2,3
NORTH THURSTON PUBLIC SCHOOLS,2014-15,1195,80.1%,1.6%,16.0%,2.3%,0.8%,1.6%,0.0%,0.0%,87.5%,87.4%,89.6%,86.5%,91.8%,88.5%,957,19,191,28,9,19,0,0,149,150,124,161,98,138
NORTHPORT SCHOOL DISTRICT,2014-15,7,28.6%,14.3%,42.9%,14.3%,0.0%,14.3%,0.0%,0.0%,42.9%,42.9%,42.9%,42.9%,71.4%,28.6%,2,1,3,1,0,1,0,0,4,4,4,4,2,5
NORTHSHORE SCHOOL DISTRICT,2014-15,1768,85.2%,0.5%,7.2%,7.1%,1.4%,6.2%,0.1%,0.1%,90.5%,90.5%,90.2%,90.5%,92.5%,88.9%,1507,9,127,125,24,109,2,2,168,168,174,168,132,196
OAK HARBOR SCHOOL DISTRICT,2014-15,531,90.0%,1.7%,2.6%,5.6%,2.4%,3.0%,0.8%,0.0%,92.1%,92.1%,91.7%,92.8%,94.4%,91.5%,478,9,14,30,13,16,4,0,42,42,44,38,30,45
OAKESDALE SCHOOL DISTRICT,2014-15,6,50.0%,16.7%,0.0%,33.3%,0.0%,16.7%,16.7%,0.0%,83.3%,83.3%,66.7%,83.3%,100.0%,66.7%,3,1,0,2,0,1,1,0,1,1,2,1,0,2
OAKVILLE SCHOOL DISTRICT,2014-15,22,81.8%,0.0%,13.6%,4.5%,0.0%,4.5%,0.0%,0.0%,81.8%,81.8%,81.8%,81.8%,90.9%,81.8%,18,0,3,1,0,1,0,0,4,4,4,4,2,4
OCEAN BEACH SCHOOL DISTRICT,2014-15,76,86.8%,2.6%,6.6%,3.9%,0.0%,2.6%,1.3%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,66,2,5,3,0,2,1,0,0,0,0,0,0,0
OCOSTA SCHOOL DISTRICT,2014-15,46,80.4%,0.0%,15.2%,4.3%,0.0%,2.2%,2.2%,0.0%,87.0%,87.0%,84.8%,87.0%,95.7%,82.6%,37,0,7,2,0,1,1,0,6,6,7,6,2,8
ODESSA SCHOOL DISTRICT,2014-15,20,85.0%,15.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,90.0%,95.0%,95.0%,100.0%,90.0%,17,3,0,0,0,0,0,0,2,2,1,1,0,2
OKANOGAN SCHOOL DISTRICT,2014-15,64,95.3%,3.1%,0.0%,1.6%,0.0%,1.6%,0.0%,0.0%,96.9%,96.9%,98.4%,96.9%,96.9%,95.3%,61,2,0,1,0,1,0,0,2,2,1,2,2,3
OLYMPIA SCHOOL DISTRICT,2014-15,781,63.5%,2.4%,26.0%,8.1%,1.8%,6.0%,0.4%,0.0%,76.2%,76.2%,77.3%,71.7%,77.6%,74.0%,496,19,203,63,14,47,3,0,186,186,177,221,175,203
OMAK SCHOOL DISTRICT,2014-15,127,85.0%,2.4%,7.9%,4.7%,0.0%,3.9%,0.8%,0.0%,85.8%,85.8%,87.4%,88.2%,96.1%,87.4%,108,3,10,6,0,5,1,0,18,18,16,15,5,16
ONALASKA SCHOOL DISTRICT,2014-15,57,82.5%,5.3%,3.5%,8.8%,1.8%,7.0%,0.0%,0.0%,82.5%,82.5%,89.5%,87.7%,91.2%,87.7%,47,3,2,5,1,4,0,0,10,10,6,7,5,7
ONION CREEK SCHOOL DISTRICT,2014-15,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORCAS ISLAND SCHOOL DISTRICT,2014-15,12,58.3%,0.0%,41.7%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,66.7%,100.0%,66.7%,100.0%,7,0,5,0,0,0,0,0,2,2,4,0,4,0
ORCHARD PRAIRIE SCHOOL DISTRICT,2014-15,31,67.7%,3.2%,3.2%,25.8%,0.0%,25.8%,0.0%,0.0%,74.2%,74.2%,71.0%,74.2%,71.0%,71.0%,21,1,1,8,0,8,0,0,8,8,9,8,9,9
ORIENT SCHOOL DISTRICT,2014-15,6,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,83.3%,100.0%,100.0%,83.3%,5,0,1,0,0,0,0,0,1,1,1,0,0,1
ORONDO SCHOOL DISTRICT,2014-15,24,95.8%,0.0%,0.0%,4.2%,4.2%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,95.8%,100.0%,23,0,0,1,1,0,0,0,0,0,0,0,1,0
OROVILLE SCHOOL DISTRICT,2014-15,48,83.3%,4.2%,4.2%,8.3%,2.1%,6.3%,0.0%,0.0%,91.7%,91.7%,93.8%,93.8%,97.9%,87.5%,40,2,2,4,1,3,0,0,4,4,3,3,1,6
ORTING SCHOOL DISTRICT,2014-15,187,92.5%,2.1%,0.5%,4.8%,1.6%,3.2%,0.0%,0.0%,95.7%,95.7%,96.3%,95.7%,95.7%,93.6%,173,4,1,9,3,6,0,0,8,8,7,8,8,12
OTHELLO SCHOOL DISTRICT,2014-15,345,95.4%,2.0%,1.4%,1.2%,0.6%,0.6%,0.0%,0.0%,97.4%,97.4%,97.7%,97.1%,98.6%,96.5%,329,7,5,4,2,2,0,0,9,9,8,10,5,12
PALISADES SCHOOL DISTRICT,2014-15,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PALOUSE SCHOOL DISTRICT,2014-15,8,62.5%,12.5%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,62.5%,62.5%,62.5%,62.5%,75.0%,62.5%,5,1,0,2,0,2,0,0,3,3,3,3,2,3
PASCO SCHOOL DISTRICT,2014-15,1381,96.5%,1.7%,0.5%,1.3%,0.2%,0.9%,0.1%,0.0%,98.3%,98.3%,97.6%,98.3%,98.6%,97.2%,1332,24,7,18,3,13,2,0,24,24,33,24,19,39
PATEROS SCHOOL DISTRICT,2014-15,17,88.2%,0.0%,5.9%,5.9%,0.0%,5.9%,0.0%,0.0%,88.2%,88.2%,88.2%,88.2%,100.0%,88.2%,15,0,1,1,0,1,0,0,2,2,2,2,0,2
PATERSON SCHOOL DISTRICT,2014-15,16,87.5%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,100.0%,87.5%,14,0,0,2,2,0,0,0,2,2,2,2,0,2
PE ELL SCHOOL DISTRICT,2014-15,21,95.2%,0.0%,0.0%,4.8%,0.0%,4.8%,0.0%,0.0%,100.0%,95.2%,95.2%,100.0%,95.2%,95.2%,20,0,0,1,0,1,0,0,0,1,1,0,1,1
PENINSULA SCHOOL DISTRICT,2014-15,614,93.6%,1.6%,0.5%,4.2%,0.5%,3.3%,0.3%,0.5%,95.6%,95.6%,95.8%,95.8%,95.6%,95.3%,575,10,3,26,3,20,2,3,27,27,26,26,27,29
PIONEER SCHOOL DISTRICT,2014-15,67,86.6%,0.0%,7.5%,6.0%,0.0%,6.0%,0.0%,0.0%,88.1%,88.1%,92.5%,86.6%,94.0%,92.5%,58,0,5,4,0,4,0,0,8,8,5,9,4,5
POMEROY SCHOOL DISTRICT,2014-15,23,95.7%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,22,1,0,0,0,0,0,0,1,1,1,1,1,1
PORT ANGELES SCHOOL DISTRICT,2014-15,154,76.6%,0.6%,18.2%,4.5%,0.6%,3.9%,0.0%,0.0%,85.1%,85.1%,88.3%,84.4%,94.2%,83.8%,118,1,28,7,1,6,0,0,23,23,18,24,9,25
PORT TOWNSEND SCHOOL DISTRICT,2014-15,82,54.9%,3.7%,35.4%,6.1%,2.4%,3.7%,0.0%,0.0%,70.7%,70.7%,67.1%,69.5%,73.2%,65.9%,45,3,29,5,2,3,0,0,24,24,27,25,22,28
PRESCOTT SCHOOL DISTRICT,2014-15,18,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,88.9%,77.8%,66.7%,77.8%,66.7%,12,0,6,0,0,0,0,0,2,2,4,6,4,6
PROSSER SCHOOL DISTRICT,2014-15,200,96.5%,2.0%,0.0%,1.5%,0.5%,1.0%,0.0%,0.0%,98.5%,98.5%,98.5%,98.5%,99.0%,97.0%,193,4,0,3,1,2,0,0,3,3,3,3,2,6
PULLMAN SCHOOL DISTRICT,2014-15,209,79.4%,2.4%,15.8%,2.4%,0.0%,2.4%,0.0%,0.0%,89.5%,89.5%,90.0%,86.6%,90.9%,88.5%,166,5,33,5,0,5,0,0,22,22,21,28,19,24
PUYALLUP SCHOOL DISTRICT,2014-15,1666,90.6%,1.6%,3.7%,4.1%,1.4%,2.8%,0.1%,0.0%,94.9%,98.7%,95.4%,94.6%,95.7%,93.9%,1509,27,62,68,23,47,1,0,85,21,77,90,72,101
QUEETS-CLEARWATER SCHOOL DISTRICT,2014-15,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0
QUILCENE SCHOOL DISTRICT,2014-15,9,33.3%,0.0%,55.6%,11.1%,0.0%,0.0%,11.1%,0.0%,88.9%,88.9%,77.8%,33.3%,33.3%,55.6%,3,0,5,1,0,0,1,0,1,1,2,6,6,4
QUILLAYUTE VALLEY SCHOOL DISTRICT,2014-15,99,71.7%,4.0%,24.2%,0.0%,0.0%,0.0%,0.0%,0.0%,79.8%,78.8%,82.8%,81.8%,91.9%,78.8%,71,4,24,0,0,0,0,0,20,21,17,18,8,21
QUINCY SCHOOL DISTRICT,2014-15,255,91.8%,2.0%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,99.6%,96.5%,234,5,16,0,0,0,0,0,11,11,11,11,1,9
RAINIER SCHOOL DISTRICT,2014-15,72,70.8%,1.4%,9.7%,18.1%,1.4%,16.7%,0.0%,0.0%,77.8%,76.4%,75.0%,76.4%,77.8%,73.6%,51,1,7,13,1,12,0,0,16,17,18,17,16,19
RAYMOND SCHOOL DISTRICT,2014-15,30,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,83.3%,86.7%,93.3%,83.3%,25,0,5,0,0,0,0,0,5,5,5,4,2,5
REARDAN-EDWALL SCHOOL DISTRICT,2014-15,6,66.7%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,83.3%,83.3%,66.7%,83.3%,66.7%,66.7%,4,0,0,2,0,2,0,0,1,1,2,1,2,2
RENTON SCHOOL DISTRICT,2014-15,1439,93.6%,1.5%,1.0%,3.9%,1.4%,2.6%,0.0%,0.1%,96.1%,96.0%,96.1%,95.9%,96.7%,95.7%,1347,22,14,56,20,37,0,1,56,58,56,59,48,62
REPUBLIC SCHOOL DISTRICT,2014-15,13,69.2%,0.0%,0.0%,30.8%,15.4%,15.4%,0.0%,0.0%,84.6%,84.6%,84.6%,84.6%,76.9%,76.9%,9,0,0,4,2,2,0,0,2,2,2,2,3,3
RICHLAND SCHOOL DISTRICT,2014-15,985,92.2%,0.6%,4.4%,2.8%,0.2%,2.4%,0.2%,0.0%,95.8%,95.8%,95.3%,95.6%,97.2%,94.9%,908,6,43,28,2,24,2,0,41,41,46,43,28,50
RIDGEFIELD SCHOOL DISTRICT,2014-15,176,85.2%,0.0%,0.6%,14.2%,5.7%,6.8%,1.7%,0.6%,86.9%,86.9%,85.2%,85.8%,88.1%,83.5%,150,0,1,25,10,12,3,1,23,23,26,25,21,29
RITZVILLE SCHOOL DISTRICT,2014-15,26,88.5%,3.8%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,92.3%,92.3%,92.3%,88.5%,96.2%,88.5%,23,1,2,0,0,0,0,0,2,2,2,3,1,3
RIVERSIDE SCHOOL DISTRICT,2014-15,101,77.2%,2.0%,11.9%,8.9%,1.0%,6.9%,1.0%,0.0%,83.2%,83.2%,80.2%,83.2%,86.1%,80.2%,78,2,12,9,1,7,1,0,17,17,20,17,14,20
RIVERVIEW SCHOOL DISTRICT,2014-15,216,76.4%,5.6%,11.1%,6.9%,0.9%,5.6%,0.0%,0.0%,90.7%,90.3%,88.9%,88.9%,88.0%,88.4%,165,12,24,15,2,12,0,0,20,21,24,24,26,25
ROCHESTER SCHOOL DISTRICT,2014-15,168,72.6%,0.6%,25.0%,1.8%,0.0%,1.8%,0.0%,0.0%,78.6%,78.6%,79.8%,75.6%,83.9%,78.0%,122,1,42,3,0,3,0,0,36,36,34,41,27,37
ROOSEVELT SCHOOL DISTRICT,2014-15,9,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,77.8%,100.0%,66.7%,6,3,0,0,0,0,0,0,3,3,3,2,0,3
ROSALIA SCHOOL DISTRICT,2014-15,10,90.0%,0.0%,0.0%,10.0%,0.0%,10.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,9,0,0,1,0,1,0,0,1,1,1,1,1,1
ROYAL SCHOOL DISTRICT,2014-15,160,98.8%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.8%,98.8%,98.8%,98.8%,100.0%,98.8%,158,2,0,0,0,0,0,0,2,2,2,2,0,2
