School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
KALAMA SCHOOL DISTRICT,2016-17,82,85.4%,1.2%,2.4%,11.0%,1.2%,9.8%,0.0%,0.0%,91.5%,91.5%,91.5%,92.7%,90.2%,90.2%,70,1,2,9,1,8,0,0,7,7,7,6,8,8
KELLER SCHOOL DISTRICT,2016-17,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KELSO SCHOOL DISTRICT,2016-17,350,92.0%,2.6%,1.4%,4.0%,2.0%,2.0%,0.0%,0.0%,95.1%,95.1%,94.6%,95.4%,96.3%,93.7%,322,9,5,14,7,7,0,0,17,17,19,16,13,22
KENNEWICK SCHOOL DISTRICT,2016-17,"1,344",92.9%,1.4%,2.7%,3.0%,0.4%,2.5%,0.0%,0.0%,95.9%,95.9%,96.3%,96.4%,96.9%,95.8%,"1,249",19,36,40,6,34,0,0,55,55,50,48,41,56
KENT SCHOOL DISTRICT,2016-17,"2,085",84.6%,3.0%,9.0%,3.5%,0.4%,2.9%,0.1%,0.0%,90.0%,90.0%,90.9%,90.1%,94.0%,89.8%,"1,763",63,187,72,9,61,3,1,208,208,189,207,125,213
KETTLE FALLS SCHOOL DISTRICT,2016-17,55,90.9%,5.5%,1.8%,1.8%,0.0%,1.8%,0.0%,0.0%,98.2%,98.2%,98.2%,94.5%,96.4%,92.7%,50,3,1,1,0,1,0,0,1,1,1,3,2,4
KIONA-BENTON CITY SCHOOL DISTRICT,2016-17,97,58.8%,1.0%,38.1%,2.1%,0.0%,2.1%,0.0%,0.0%,64.9%,64.9%,62.9%,63.9%,81.4%,64.9%,57,1,37,2,0,2,0,0,34,34,36,35,18,34
KITTITAS SCHOOL DISTRICT,2016-17,35,88.6%,0.0%,8.6%,2.9%,0.0%,2.9%,0.0%,0.0%,94.3%,94.3%,97.1%,100.0%,94.3%,97.1%,31,0,3,1,0,1,0,0,2,2,1,0,2,1
KLICKITAT SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CENTER SCHOOL DISTRICT,2016-17,108,68.5%,0.9%,18.5%,12.0%,1.9%,10.2%,0.0%,0.0%,73.1%,73.1%,72.2%,70.4%,83.3%,73.1%,74,1,20,13,2,11,0,0,29,29,30,32,18,29
LA CONNER SCHOOL DISTRICT,2016-17,31,83.9%,0.0%,16.1%,0.0%,0.0%,0.0%,0.0%,0.0%,90.3%,90.3%,100.0%,90.3%,87.1%,96.8%,26,0,5,0,0,0,0,0,3,3,0,3,4,1
LACROSSE SCHOOL DISTRICT,2016-17,3,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,100.0%,66.7%,2,0,1,0,0,0,0,0,1,1,1,1,0,1
LAKE CHELAN SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE QUINAULT SCHOOL DISTRICT,2016-17,17,64.7%,0.0%,35.3%,0.0%,0.0%,0.0%,0.0%,0.0%,64.7%,64.7%,70.6%,64.7%,82.4%,64.7%,11,0,6,0,0,0,0,0,6,6,5,6,3,6
LAKE STEVENS SCHOOL DISTRICT,2016-17,644,76.2%,2.5%,16.9%,4.3%,1.1%,3.3%,0.0%,0.0%,85.6%,85.6%,86.3%,83.1%,91.9%,84.5%,491,16,109,28,7,21,0,0,93,93,88,109,52,100
LAKE WASHINGTON SCHOOL DISTRICT,2016-17,"2,594",85.2%,2.3%,9.2%,3.3%,0.8%,2.5%,0.0%,0.0%,92.2%,92.3%,91.3%,91.1%,93.3%,90.2%,"2,210",59,239,86,21,66,1,0,203,199,225,231,173,255
LAKEWOOD SCHOOL DISTRICT,2016-17,160,80.6%,3.1%,11.3%,5.0%,1.9%,3.1%,0.0%,0.0%,88.1%,88.1%,86.9%,86.3%,93.8%,82.5%,129,5,18,8,3,5,0,0,19,19,21,22,10,28
LAMONT SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY SCHOOL DISTRICT,2016-17,36,72.2%,8.3%,8.3%,11.1%,0.0%,11.1%,0.0%,0.0%,86.1%,86.1%,88.9%,88.9%,91.7%,80.6%,26,3,3,4,0,4,0,0,5,5,4,4,3,7
LIND SCHOOL DISTRICT,2016-17,16,93.8%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,93.8%,100.0%,15,1,0,0,0,0,0,0,0,0,0,0,1,0
LONGVIEW SCHOOL DISTRICT,2016-17,565,92.6%,2.1%,3.2%,2.1%,0.2%,1.8%,0.2%,0.0%,94.2%,94.2%,94.7%,94.7%,97.9%,93.6%,523,12,18,12,1,10,1,0,33,33,30,30,12,36
LOON LAKE SCHOOL DISTRICT,2016-17,17,47.1%,0.0%,17.6%,35.3%,0.0%,35.3%,0.0%,0.0%,52.9%,52.9%,58.8%,58.8%,70.6%,58.8%,8,0,3,6,0,6,0,0,8,8,7,7,5,7
LOPEZ SCHOOL DISTRICT,2016-17,17,76.5%,11.8%,0.0%,11.8%,0.0%,11.8%,0.0%,0.0%,94.1%,94.1%,94.1%,88.2%,82.4%,82.4%,13,2,0,2,0,2,0,0,1,1,1,2,3,3
LUMMI NATION SCHOOL,2016-17,21,90.5%,0.0%,9.5%,0.0%,0.0%,0.0%,0.0%,0.0%,95.2%,95.2%,95.2%,95.2%,100.0%,90.5%,19,0,2,0,0,0,0,0,1,1,1,1,0,2
LYLE SCHOOL DISTRICT,2016-17,23,30.4%,0.0%,69.6%,0.0%,0.0%,0.0%,0.0%,0.0%,47.8%,47.8%,47.8%,47.8%,78.3%,43.5%,7,0,16,0,0,0,0,0,12,12,12,12,5,13
LYNDEN SCHOOL DISTRICT,2016-17,364,80.8%,1.1%,13.5%,4.7%,0.3%,4.1%,0.3%,0.0%,84.9%,84.9%,84.3%,84.6%,87.6%,83.5%,294,4,49,17,1,15,1,0,55,55,57,56,45,60
MABTON SCHOOL DISTRICT,2016-17,60,95.0%,0.0%,3.3%,1.7%,1.7%,0.0%,0.0%,0.0%,96.7%,96.7%,98.3%,96.7%,100.0%,96.7%,57,0,2,1,1,0,0,0,2,2,1,2,0,2
MANSFIELD SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANSON SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARY M KNIGHT SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARY WALKER SCHOOL DISTRICT,2016-17,32,59.4%,0.0%,34.4%,6.3%,6.3%,0.0%,0.0%,0.0%,62.5%,62.5%,59.4%,62.5%,62.5%,59.4%,19,0,11,2,2,0,0,0,12,12,13,12,12,13
MARYSVILLE SCHOOL DISTRICT,2016-17,863,84.1%,2.5%,8.3%,5.0%,2.3%,2.7%,0.0%,0.0%,90.3%,90.3%,90.7%,90.8%,94.1%,89.5%,726,22,72,43,20,23,0,0,84,84,80,79,51,91
MCCLEARY SCHOOL DISTRICT,2016-17,49,49.0%,2.0%,49.0%,0.0%,0.0%,0.0%,0.0%,0.0%,59.2%,59.2%,67.3%,59.2%,73.5%,71.4%,24,1,24,0,0,0,0,0,20,20,16,20,13,14
MEAD SCHOOL DISTRICT,2016-17,716,82.0%,3.2%,3.9%,10.9%,0.4%,9.6%,0.3%,0.6%,88.7%,88.7%,87.6%,89.7%,90.5%,86.3%,587,23,28,78,3,69,2,4,81,81,89,74,68,98
MEDICAL LAKE SCHOOL DISTRICT,2016-17,152,86.2%,3.3%,2.6%,7.9%,2.0%,5.3%,0.7%,0.0%,90.8%,90.8%,90.1%,90.1%,92.8%,88.2%,131,5,4,12,3,8,1,0,14,14,15,15,11,18
MERCER ISLAND SCHOOL DISTRICT,2016-17,316,84.8%,0.9%,11.4%,2.8%,0.6%,2.2%,0.0%,0.0%,93.4%,93.7%,92.4%,93.0%,92.7%,91.8%,268,3,36,9,2,7,0,0,21,20,24,22,23,26
MERIDIAN SCHOOL DISTRICT,2016-17,109,84.4%,0.0%,12.8%,2.8%,1.8%,0.9%,0.0%,0.0%,94.5%,94.5%,93.6%,93.6%,94.5%,93.6%,92,0,14,3,2,1,0,0,6,6,7,7,6,7
METHOW VALLEY SCHOOL DISTRICT,2016-17,52,63.5%,1.9%,25.0%,9.6%,0.0%,9.6%,0.0%,0.0%,82.7%,80.8%,75.0%,76.9%,78.8%,73.1%,33,1,13,5,0,5,0,0,9,10,13,12,11,14
MILL A SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE SCHOOL DISTRICT,2016-17,421,83.8%,3.6%,6.9%,5.7%,2.1%,3.8%,0.0%,0.0%,91.4%,91.2%,91.0%,89.8%,91.0%,89.3%,353,15,29,24,9,16,0,0,36,37,38,43,38,45
MONTESANO SCHOOL DISTRICT,2016-17,105,61.9%,1.9%,29.5%,6.7%,1.0%,5.7%,0.0%,0.0%,70.5%,70.5%,68.6%,68.6%,89.5%,64.8%,65,2,31,7,1,6,0,0,31,31,33,33,11,37
MORTON SCHOOL DISTRICT,2016-17,18,66.7%,0.0%,27.8%,5.6%,5.6%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,77.8%,66.7%,12,0,5,1,1,0,0,0,6,6,6,6,4,6
MOSES LAKE SCHOOL DISTRICT,2016-17,630,85.4%,2.2%,7.3%,5.1%,0.8%,3.5%,0.5%,0.3%,89.4%,89.4%,90.0%,88.1%,91.4%,89.4%,538,14,46,32,5,22,3,2,67,67,63,75,54,67
MOSSYROCK SCHOOL DISTRICT,2016-17,43,86.0%,4.7%,7.0%,2.3%,0.0%,2.3%,0.0%,0.0%,88.4%,88.4%,88.4%,90.7%,97.7%,86.0%,37,2,3,1,0,1,0,0,5,5,5,4,1,6
MOUNT ADAMS SCHOOL DISTRICT,2016-17,78,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,78,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT BAKER SCHOOL DISTRICT,2016-17,119,78.2%,3.4%,9.2%,9.2%,0.8%,6.7%,1.7%,0.0%,81.5%,80.7%,83.2%,81.5%,85.7%,82.4%,93,4,11,11,1,8,2,0,22,23,20,22,17,21
MOUNT PLEASANT SCHOOL DISTRICT,2016-17,8,50.0%,0.0%,37.5%,12.5%,12.5%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,50.0%,100.0%,4,0,3,1,1,0,0,0,0,0,0,0,4,0
MOUNT VERNON SCHOOL DISTRICT,2016-17,549,87.2%,1.8%,3.6%,7.3%,1.1%,5.5%,0.0%,0.7%,90.5%,90.3%,90.5%,90.5%,91.6%,89.1%,479,10,20,40,6,30,0,4,52,53,52,52,46,60
MUKILTEO SCHOOL DISTRICT,2016-17,"1,200",87.9%,0.7%,8.0%,3.4%,0.1%,3.3%,0.0%,0.0%,91.7%,91.8%,92.3%,91.3%,94.1%,91.0%,"1,055",8,96,41,1,40,0,0,100,98,92,104,71,108
NACHES VALLEY SCHOOL DISTRICT,2016-17,103,94.2%,3.9%,1.0%,1.0%,0.0%,1.0%,0.0%,0.0%,98.1%,98.1%,98.1%,99.0%,98.1%,96.1%,97,4,1,1,0,1,0,0,2,2,2,1,2,4
NAPAVINE SCHOOL DISTRICT,2016-17,55,96.4%,1.8%,0.0%,1.8%,0.0%,1.8%,0.0%,0.0%,96.4%,96.4%,96.4%,98.2%,100.0%,96.4%,53,1,0,1,0,1,0,0,2,2,2,1,0,2
NASELLE-GRAYS RIVER VALLEY SCHOOL DISTRICT,2016-17,29,93.1%,3.4%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,96.6%,96.6%,93.1%,96.6%,96.6%,96.6%,27,1,1,0,0,0,0,0,1,1,2,1,1,1
NESPELEM SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWPORT SCHOOL DISTRICT,2016-17,72,47.2%,4.2%,30.6%,18.1%,1.4%,18.1%,0.0%,0.0%,65.3%,65.3%,66.7%,66.7%,80.6%,52.8%,34,3,22,13,1,13,0,0,25,25,24,24,14,34
NINE MILE FALLS SCHOOL DISTRICT,2016-17,88,73.9%,2.3%,15.9%,8.0%,1.1%,5.7%,1.1%,1.1%,83.0%,83.0%,84.1%,81.8%,88.6%,80.7%,65,2,14,7,1,5,1,1,15,15,14,16,10,17
NOOKSACK VALLEY SCHOOL DISTRICT,2016-17,161,84.5%,1.9%,9.3%,4.3%,0.0%,4.3%,0.0%,0.0%,89.4%,89.4%,90.7%,86.3%,95.0%,88.8%,136,3,15,7,0,7,0,0,17,17,15,22,8,18
NORTH BEACH SCHOOL DISTRICT,2016-17,55,69.1%,0.0%,27.3%,3.6%,3.6%,0.0%,0.0%,0.0%,72.7%,72.7%,78.2%,72.7%,94.5%,76.4%,38,0,15,2,2,0,0,0,15,15,12,15,3,13
NORTH FRANKLIN SCHOOL DISTRICT,2016-17,175,87.4%,1.7%,8.0%,2.9%,0.0%,1.7%,1.1%,0.0%,89.1%,89.1%,89.1%,88.6%,93.7%,88.0%,153,3,14,5,0,3,2,0,19,19,19,20,11,21
NORTH KITSAP SCHOOL DISTRICT,2016-17,426,90.1%,1.4%,1.4%,7.0%,1.2%,5.4%,0.5%,0.0%,92.5%,92.5%,93.0%,92.7%,93.4%,91.1%,384,6,6,30,5,23,2,0,32,32,30,31,28,38
NORTH MASON SCHOOL DISTRICT,2016-17,141,83.7%,5.0%,8.5%,2.8%,0.0%,2.1%,0.7%,0.0%,85.8%,85.8%,88.7%,84.4%,93.6%,88.7%,118,7,12,4,0,3,1,0,20,20,16,22,9,16
NORTH RIVER SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH THURSTON PUBLIC SCHOOLS,2016-17,"1,123",80.0%,1.5%,15.5%,3.0%,0.5%,2.3%,0.1%,0.1%,84.9%,84.9%,85.6%,84.6%,86.9%,84.5%,898,17,174,34,6,26,1,1,170,170,162,173,147,174
NORTHPORT SCHOOL DISTRICT,2016-17,12,8.3%,0.0%,58.3%,33.3%,0.0%,33.3%,0.0%,0.0%,33.3%,33.3%,16.7%,25.0%,66.7%,25.0%,1,0,7,4,0,4,0,0,8,8,10,9,4,9
NORTHSHORE SCHOOL DISTRICT,2016-17,"1,823",88.4%,0.5%,5.6%,5.4%,0.7%,4.8%,0.1%,0.1%,93.5%,93.5%,92.2%,92.3%,93.5%,91.6%,"1,612",10,102,99,12,88,1,1,119,119,142,140,119,154
OAK HARBOR SCHOOL DISTRICT,2016-17,497,90.5%,4.0%,0.8%,4.6%,1.2%,3.2%,0.2%,0.0%,93.6%,93.6%,94.6%,94.8%,96.6%,93.4%,450,20,4,23,6,16,1,0,32,32,27,26,17,33
OAKESDALE SCHOOL DISTRICT,2016-17,9,66.7%,22.2%,0.0%,11.1%,11.1%,0.0%,0.0%,0.0%,77.8%,77.8%,100.0%,77.8%,100.0%,77.8%,6,2,0,1,1,0,0,0,2,2,0,2,0,2
OAKVILLE SCHOOL DISTRICT,2016-17,15,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,73.3%,66.7%,10,0,5,0,0,0,0,0,5,5,5,5,4,5
OCEAN BEACH SCHOOL DISTRICT,2016-17,90,82.2%,5.6%,0.0%,12.2%,2.2%,8.9%,1.1%,0.0%,86.7%,86.7%,86.7%,92.2%,87.8%,84.4%,74,5,0,11,2,8,1,0,12,12,12,7,11,14
OCOSTA SCHOOL DISTRICT,2016-17,57,70.2%,1.8%,24.6%,3.5%,0.0%,3.5%,0.0%,0.0%,77.2%,77.2%,78.9%,77.2%,87.7%,77.2%,40,1,14,2,0,2,0,0,13,13,12,13,7,13
ODESSA SCHOOL DISTRICT,2016-17,17,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,17,0,0,0,0,0,0,0,0,0,0,0,0,0
OKANOGAN SCHOOL DISTRICT,2016-17,78,93.6%,0.0%,0.0%,6.4%,0.0%,6.4%,0.0%,0.0%,93.6%,93.6%,93.6%,93.6%,94.9%,93.6%,73,0,0,5,0,5,0,0,5,5,5,5,4,5
OLYMPIA SCHOOL DISTRICT,2016-17,730,71.0%,2.2%,21.8%,5.1%,0.7%,4.4%,0.1%,0.0%,81.5%,81.4%,83.2%,78.9%,82.2%,79.6%,518,16,159,37,5,32,1,0,135,136,123,154,130,149
OMAK SCHOOL DISTRICT,2016-17,150,82.0%,2.0%,14.0%,2.0%,0.7%,1.3%,0.0%,0.0%,84.7%,84.7%,85.3%,86.0%,94.0%,84.7%,123,3,21,3,1,2,0,0,23,23,22,21,9,23
ONALASKA SCHOOL DISTRICT,2016-17,60,93.3%,1.7%,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.0%,95.0%,96.7%,95.0%,98.3%,95.0%,56,1,3,0,0,0,0,0,3,3,2,3,1,3
ONION CREEK SCHOOL DISTRICT,2016-17,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ORCAS ISLAND SCHOOL DISTRICT,2016-17,60,13.3%,0.0%,83.3%,3.3%,0.0%,3.3%,0.0%,0.0%,15.0%,15.0%,15.0%,15.0%,15.0%,13.3%,8,0,50,2,0,2,0,0,51,51,51,51,51,52
ORCHARD PRAIRIE SCHOOL DISTRICT,2016-17,22,40.9%,0.0%,9.1%,50.0%,0.0%,50.0%,0.0%,0.0%,45.5%,45.5%,45.5%,45.5%,40.9%,45.5%,9,0,2,11,0,11,0,0,12,12,12,12,13,12
ORIENT SCHOOL DISTRICT,2016-17,3,0.0%,33.3%,33.3%,33.3%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,33.3%,0,1,1,1,0,0,1,0,3,3,2,3,3,2
ORONDO SCHOOL DISTRICT,2016-17,24,95.8%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.8%,23,1,0,0,0,0,0,0,0,0,0,0,0,1
OROVILLE SCHOOL DISTRICT,2016-17,40,85.0%,2.5%,10.0%,2.5%,2.5%,0.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,95.0%,92.5%,34,1,4,1,1,0,0,0,4,4,4,4,2,3
ORTING SCHOOL DISTRICT,2016-17,203,88.7%,3.0%,1.0%,7.4%,2.5%,4.4%,0.5%,0.0%,92.6%,92.6%,93.6%,93.1%,93.1%,91.1%,180,6,2,15,5,9,1,0,15,15,13,14,14,18
OTHELLO SCHOOL DISTRICT,2016-17,377,93.1%,1.6%,4.8%,0.5%,0.0%,0.5%,0.0%,0.0%,94.4%,94.4%,95.5%,95.0%,96.6%,94.7%,351,6,18,2,0,2,0,0,21,21,17,19,13,20
PALISADES SCHOOL DISTRICT,2016-17,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PASCO SCHOOL DISTRICT,2016-17,"1,474",95.7%,1.5%,0.9%,1.9%,0.2%,1.3%,0.4%,0.0%,97.2%,97.2%,97.3%,97.3%,97.4%,97.0%,"1,411",22,13,28,3,19,6,0,42,42,40,40,39,44
PATEROS SCHOOL DISTRICT,2016-17,25,88.0%,0.0%,4.0%,8.0%,0.0%,0.0%,8.0%,0.0%,92.0%,92.0%,92.0%,88.0%,92.0%,96.0%,22,0,1,2,0,0,2,0,2,2,2,3,2,1
PATERSON SCHOOL DISTRICT,2016-17,15,93.3%,0.0%,0.0%,6.7%,0.0%,6.7%,0.0%,0.0%,93.3%,93.3%,93.3%,93.3%,100.0%,93.3%,14,0,0,1,0,1,0,0,1,1,1,1,0,1
PE ELL SCHOOL DISTRICT,2016-17,20,85.0%,0.0%,5.0%,10.0%,0.0%,5.0%,0.0%,5.0%,85.0%,85.0%,90.0%,85.0%,90.0%,90.0%,17,0,1,2,0,1,0,1,3,3,2,3,2,2
PENINSULA SCHOOL DISTRICT,2016-17,638,90.3%,2.4%,2.5%,4.9%,0.3%,4.4%,0.2%,0.0%,94.5%,95.6%,94.8%,94.2%,95.0%,93.4%,576,15,16,31,2,28,1,0,35,28,33,37,32,42
PIONEER SCHOOL DISTRICT,2016-17,70,92.9%,0.0%,2.9%,4.3%,2.9%,1.4%,0.0%,0.0%,95.7%,95.7%,97.1%,94.3%,98.6%,94.3%,65,0,2,3,2,1,0,0,3,3,2,4,1,4
POMEROY SCHOOL DISTRICT,2016-17,22,90.9%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,20,0,2,0,0,0,0,0,1,1,1,1,1,1
PORT ANGELES SCHOOL DISTRICT,2016-17,323,89.5%,0.6%,3.1%,6.8%,1.2%,5.0%,0.9%,0.3%,91.3%,91.3%,90.7%,90.7%,93.5%,90.4%,289,2,10,22,4,16,3,1,28,28,30,30,21,31
PORT TOWNSEND SCHOOL DISTRICT,2016-17,81,69.1%,2.5%,23.5%,4.9%,0.0%,4.9%,0.0%,0.0%,82.7%,82.7%,84.0%,82.7%,85.2%,81.5%,56,2,19,4,0,4,0,0,14,14,13,14,12,15
PRESCOTT SCHOOL DISTRICT,2016-17,22,81.8%,4.5%,13.6%,0.0%,0.0%,0.0%,0.0%,0.0%,81.8%,86.4%,81.8%,81.8%,86.4%,81.8%,18,1,3,0,0,0,0,0,4,3,4,4,3,4
PRIDE PREP CHARTER SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSSER SCHOOL DISTRICT,2016-17,212,93.4%,1.4%,0.9%,4.2%,0.0%,3.8%,0.0%,0.5%,96.2%,96.7%,97.6%,96.7%,95.8%,97.2%,198,3,2,9,0,8,0,1,8,7,5,7,9,6
PULLMAN SCHOOL DISTRICT,2016-17,241,79.3%,0.8%,18.7%,1.2%,0.4%,0.8%,0.0%,0.0%,90.5%,90.9%,89.6%,89.6%,91.3%,88.4%,191,2,45,3,1,2,0,0,23,22,25,25,21,28
PUYALLUP SCHOOL DISTRICT,2016-17,"1,624",83.9%,1.3%,8.4%,6.3%,0.9%,5.3%,0.2%,0.1%,90.0%,96.7%,90.0%,89.2%,92.9%,89.3%,"1,363",21,137,103,15,86,3,1,162,54,163,175,115,173
QUEETS-CLEARWATER SCHOOL DISTRICT,2016-17,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0
QUILCENE SCHOOL DISTRICT,2016-17,13,69.2%,23.1%,0.0%,7.7%,0.0%,7.7%,0.0%,0.0%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%,9,3,0,1,0,1,0,0,3,3,3,3,3,3
QUILLAYUTE VALLEY SCHOOL DISTRICT,2016-17,78,74.4%,3.8%,21.8%,0.0%,0.0%,0.0%,0.0%,0.0%,85.9%,85.9%,85.9%,83.3%,91.0%,83.3%,58,3,17,0,0,0,0,0,11,11,11,13,7,13
QUINCY SCHOOL DISTRICT,2016-17,275,93.8%,0.7%,5.1%,0.4%,0.0%,0.0%,0.4%,0.0%,96.0%,96.0%,96.0%,96.0%,97.1%,96.0%,258,2,14,1,0,0,1,0,11,11,11,11,8,11
RAINIER PREP CHARTER SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAINIER SCHOOL DISTRICT,2016-17,74,78.4%,1.4%,16.2%,4.1%,0.0%,4.1%,0.0%,0.0%,86.5%,86.5%,87.8%,82.4%,91.9%,87.8%,58,1,12,3,0,3,0,0,10,10,9,13,6,9
RAYMOND SCHOOL DISTRICT,2016-17,37,94.6%,0.0%,0.0%,5.4%,0.0%,5.4%,0.0%,0.0%,97.3%,97.3%,97.3%,97.3%,97.3%,94.6%,35,0,0,2,0,2,0,0,1,1,1,1,1,2
REARDAN-EDWALL SCHOOL DISTRICT,2016-17,10,50.0%,20.0%,0.0%,30.0%,10.0%,20.0%,0.0%,0.0%,100.0%,90.0%,90.0%,100.0%,70.0%,60.0%,5,2,0,3,1,2,0,0,0,1,1,0,3,4
RENTON SCHOOL DISTRICT,2016-17,"1,380",91.7%,2.0%,2.2%,4.1%,1.0%,2.5%,0.5%,0.1%,93.8%,93.8%,95.1%,93.6%,95.7%,94.6%,"1,266",28,30,56,14,35,7,1,86,86,68,89,60,75
REPUBLIC SCHOOL DISTRICT,2016-17,22,90.9%,0.0%,0.0%,9.1%,9.1%,0.0%,0.0%,0.0%,90.9%,90.9%,90.9%,90.9%,95.5%,90.9%,20,0,0,2,2,0,0,0,2,2,2,2,1,2
RICHLAND SCHOOL DISTRICT,2016-17,927,93.1%,1.6%,2.2%,3.1%,0.2%,2.7%,0.2%,0.0%,95.0%,95.4%,94.5%,95.1%,96.5%,94.0%,863,15,20,29,2,25,2,0,46,43,51,45,32,56
RIDGEFIELD SCHOOL DISTRICT,2016-17,225,94.2%,1.3%,0.4%,4.0%,0.9%,2.2%,1.3%,0.0%,96.9%,96.9%,96.4%,96.4%,96.9%,95.1%,212,3,1,9,2,5,3,0,7,7,8,8,7,11
RITZVILLE SCHOOL DISTRICT,2016-17,34,91.2%,0.0%,0.0%,8.8%,0.0%,8.8%,0.0%,0.0%,100.0%,100.0%,100.0%,97.1%,100.0%,94.1%,31,0,0,3,0,3,0,0,0,0,0,1,0,2
