School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
KETTLE FALLS SCHOOL DISTRICT,2013-14,45,91.1%,2.2%,0.0%,6.7%,2.2%,2.2%,0.0%,2.2%,91.1%,91.1%,93.3%,91.1%,93.3%,93.3%,41,1,0,3,1,1,0,1,4,4,3,4,3,3
KIONA-BENTON CITY SCHOOL DISTRICT,2013-14,120,67.5%,0.0%,30.8%,1.7%,0.0%,1.7%,0.0%,0.0%,86.7%,86.7%,80.0%,87.5%,88.3%,90.0%,81,0,37,2,0,2,0,0,16,16,24,15,14,12
KITTITAS SCHOOL DISTRICT,2013-14,46,82.6%,0.0%,17.4%,0.0%,0.0%,0.0%,0.0%,0.0%,87.0%,87.0%,84.8%,87.0%,84.8%,84.8%,38,0,8,0,0,0,0,0,6,6,7,6,7,7
KLICKITAT SCHOOL DISTRICT,2013-14,9,44.4%,0.0%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,55.6%,77.8%,66.7%,88.9%,66.7%,4,0,5,0,0,0,0,0,4,4,2,3,1,3
LA CENTER SCHOOL DISTRICT,2013-14,109,79.8%,4.6%,10.1%,5.5%,0.9%,4.6%,0.0%,0.0%,90.8%,90.8%,92.7%,89.9%,90.8%,88.1%,87,5,11,6,1,5,0,0,10,10,8,11,10,13
LA CONNER SCHOOL DISTRICT,2013-14,49,89.8%,0.0%,4.1%,6.1%,2.0%,4.1%,0.0%,0.0%,91.8%,91.8%,89.8%,91.8%,91.8%,89.8%,44,0,2,3,1,2,0,0,4,4,5,4,4,5
LACROSSE SCHOOL DISTRICT,2013-14,5,80.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,4,0,0,1,0,1,0,0,1,1,1,1,1,1
LAKE CHELAN SCHOOL DISTRICT,2013-14,106,95.3%,0.0%,0.9%,3.8%,0.9%,1.9%,0.9%,0.0%,97.2%,97.2%,96.2%,97.2%,96.2%,96.2%,101,0,1,4,1,2,1,0,3,3,4,3,4,4
LAKE QUINAULT SCHOOL DISTRICT,2013-14,15,93.3%,0.0%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,93.3%,93.3%,100.0%,93.3%,93.3%,100.0%,14,0,1,0,0,0,0,0,1,1,0,1,1,0
LAKE STEVENS SCHOOL DISTRICT,2013-14,662,76.0%,2.9%,16.0%,5.1%,1.4%,3.2%,0.5%,0.2%,85.0%,84.7%,83.7%,84.1%,92.6%,83.1%,503,19,106,34,9,21,3,1,99,101,108,105,49,112
LAKE WASHINGTON SCHOOL DISTRICT,2013-14,1988,72.3%,0.8%,23.2%,3.8%,1.6%,2.0%,0.2%,0.1%,83.0%,83.0%,82.3%,82.4%,87.3%,81.4%,1437,15,461,75,32,40,3,1,337,337,351,349,252,370
LAKEWOOD SCHOOL DISTRICT,2013-14,193,90.2%,2.1%,0.5%,7.3%,2.6%,4.1%,0.5%,0.5%,93.8%,93.8%,93.3%,93.3%,93.3%,90.7%,174,4,1,14,5,8,1,1,12,12,13,13,13,18
LAMONT SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY SCHOOL DISTRICT,2013-14,27,55.6%,0.0%,37.0%,7.4%,0.0%,3.7%,3.7%,0.0%,59.3%,59.3%,59.3%,59.3%,66.7%,55.6%,15,0,10,2,0,1,1,0,11,11,11,11,9,12
LIND SCHOOL DISTRICT,2013-14,19,68.4%,0.0%,31.6%,0.0%,0.0%,0.0%,0.0%,0.0%,73.7%,73.7%,68.4%,73.7%,100.0%,68.4%,13,0,6,0,0,0,0,0,5,5,6,5,0,6
LONGVIEW SCHOOL DISTRICT,2013-14,597,93.5%,2.5%,0.7%,3.4%,1.5%,1.7%,0.2%,0.0%,96.3%,96.3%,96.6%,96.1%,96.5%,96.0%,558,15,4,20,9,10,1,0,22,22,20,23,21,24
LOON LAKE SCHOOL DISTRICT,2013-14,14,42.9%,0.0%,7.1%,50.0%,0.0%,50.0%,0.0%,0.0%,42.9%,42.9%,42.9%,42.9%,50.0%,42.9%,6,0,1,7,0,7,0,0,8,8,8,8,7,8
LOPEZ SCHOOL DISTRICT,2013-14,18,50.0%,11.1%,0.0%,38.9%,33.3%,11.1%,0.0%,0.0%,77.8%,77.8%,61.1%,66.7%,66.7%,61.1%,9,2,0,7,6,2,0,0,4,4,7,6,6,7
LYLE SCHOOL DISTRICT,2013-14,15,53.3%,6.7%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.3%,53.3%,53.3%,53.3%,73.3%,53.3%,8,1,6,0,0,0,0,0,7,7,7,7,4,7
LYNDEN SCHOOL DISTRICT,2013-14,304,84.2%,0.3%,9.9%,5.6%,1.6%,3.6%,0.3%,0.0%,90.8%,90.8%,89.8%,89.5%,90.5%,89.8%,256,1,30,17,5,11,1,0,28,28,31,32,29,31
MABTON SCHOOL DISTRICT,2013-14,80,90.0%,1.3%,8.8%,0.0%,0.0%,0.0%,0.0%,0.0%,96.3%,96.3%,95.0%,95.0%,95.0%,93.8%,72,1,7,0,0,0,0,0,3,3,4,4,4,5
MANSFIELD SCHOOL DISTRICT,2013-14,7,85.7%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,1,0,0,0,0,0,1,1,1,1,1,1
MANSON SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARY M KNIGHT SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARY WALKER SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARYSVILLE SCHOOL DISTRICT,2013-14,972,89.4%,1.6%,4.8%,4.1%,1.6%,2.7%,0.0%,0.0%,92.7%,92.7%,92.7%,92.9%,95.8%,91.5%,869,16,47,40,16,26,0,0,71,71,71,69,41,83
MCCLEARY SCHOOL DISTRICT,2013-14,36,41.7%,0.0%,52.8%,5.6%,0.0%,5.6%,0.0%,0.0%,69.4%,69.4%,77.8%,63.9%,77.8%,66.7%,15,0,19,2,0,2,0,0,11,11,8,13,8,12
MEAD SCHOOL DISTRICT,2013-14,628,84.1%,3.7%,2.9%,9.4%,0.8%,8.8%,0.3%,0.0%,90.1%,90.1%,89.8%,90.1%,92.4%,87.6%,528,23,18,59,5,55,2,0,62,62,64,62,48,78
MEDICAL LAKE SCHOOL DISTRICT,2013-14,153,73.2%,1.3%,20.9%,4.6%,1.3%,3.3%,0.0%,0.0%,83.0%,83.0%,81.7%,84.3%,90.8%,81.0%,112,2,32,7,2,5,0,0,26,26,28,24,14,29
MERCER ISLAND SCHOOL DISTRICT,2013-14,345,87.0%,0.3%,9.3%,3.5%,1.2%,2.6%,0.0%,0.0%,96.2%,95.9%,93.9%,95.4%,93.6%,91.9%,300,1,32,12,4,9,0,0,13,14,21,16,22,28
MERIDIAN SCHOOL DISTRICT,2013-14,98,84.7%,2.0%,4.1%,9.2%,4.1%,5.1%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,90.8%,90.8%,83,2,4,9,4,5,0,0,7,7,7,7,9,9
METHOW VALLEY SCHOOL DISTRICT,2013-14,41,46.3%,0.0%,46.3%,7.3%,0.0%,7.3%,0.0%,0.0%,63.4%,63.4%,63.4%,53.7%,75.6%,58.5%,19,0,19,3,0,3,0,0,15,15,15,19,10,17
MILL A SCHOOL DISTRICT,2013-14,1,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0,1,0,0,0,0,0,0,1,1,0,0,0,0
MONROE SCHOOL DISTRICT,2013-14,421,88.8%,3.1%,1.2%,6.9%,2.6%,4.3%,0.0%,0.0%,92.6%,92.6%,92.4%,92.9%,93.3%,91.0%,374,13,5,29,11,18,0,0,31,31,32,30,28,38
MONTESANO SCHOOL DISTRICT,2013-14,89,77.5%,0.0%,13.5%,9.0%,1.1%,7.9%,0.0%,0.0%,86.5%,86.5%,85.4%,82.0%,91.0%,83.1%,69,0,12,8,1,7,0,0,12,12,13,16,8,15
MORTON SCHOOL DISTRICT,2013-14,20,75.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,80.0%,75.0%,80.0%,100.0%,80.0%,15,0,5,0,0,0,0,0,4,4,5,4,0,4
MOSES LAKE SCHOOL DISTRICT,2013-14,553,92.2%,0.4%,3.6%,3.8%,0.7%,2.4%,0.4%,0.4%,94.2%,94.2%,94.8%,94.0%,96.6%,94.0%,510,2,20,21,4,13,2,2,32,32,29,33,19,33
MOSSYROCK SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT ADAMS SCHOOL DISTRICT,2013-14,93,97.8%,1.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,98.9%,100.0%,98.9%,91,1,1,0,0,0,0,0,0,0,0,1,0,1
MOUNT BAKER SCHOOL DISTRICT,2013-14,145,64.8%,2.1%,26.2%,6.9%,2.1%,4.8%,0.0%,0.0%,75.2%,74.5%,75.2%,74.5%,80.7%,71.7%,94,3,38,10,3,7,0,0,36,37,36,37,28,41
MOUNT PLEASANT SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUNT VERNON SCHOOL DISTRICT,2013-14,550,85.1%,1.6%,8.0%,5.3%,1.8%,2.4%,0.4%,0.9%,92.2%,92.0%,92.7%,91.8%,90.9%,92.2%,468,9,44,29,10,13,2,5,43,44,40,45,50,43
MUKILTEO SCHOOL DISTRICT,2013-14,1282,91.0%,0.2%,4.8%,4.1%,1.0%,3.0%,0.0%,0.0%,94.7%,99.5%,94.5%,93.9%,95.9%,93.9%,1166,2,62,52,13,39,0,0,68,6,70,78,52,78
NACHES VALLEY SCHOOL DISTRICT,2013-14,96,90.6%,2.1%,5.2%,2.1%,1.0%,0.0%,1.0%,0.0%,95.8%,95.8%,94.8%,94.8%,95.8%,92.7%,87,2,5,2,1,0,1,0,4,4,5,5,4,7
NAPAVINE SCHOOL DISTRICT,2013-14,63,93.7%,1.6%,0.0%,4.8%,1.6%,3.2%,0.0%,0.0%,96.8%,96.8%,96.8%,93.7%,96.8%,96.8%,59,1,0,3,1,2,0,0,2,2,2,4,2,2
NASELLE-GRAYS RIVER VALLEY SCHOOL DISTRICT,2013-14,33,97.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,32,1,0,0,0,0,0,0,1,1,1,1,1,1
NESPELEM SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWPORT SCHOOL DISTRICT,2013-14,56,46.4%,1.8%,42.9%,8.9%,7.1%,0.0%,0.0%,1.8%,58.9%,58.9%,58.9%,60.7%,71.4%,48.2%,26,1,24,5,4,0,0,1,23,23,23,22,16,29
NINE MILE FALLS SCHOOL DISTRICT,2013-14,90,72.2%,4.4%,11.1%,12.2%,11.1%,2.2%,0.0%,0.0%,84.4%,84.4%,84.4%,81.1%,80.0%,81.1%,65,4,10,11,10,2,0,0,14,14,14,17,18,17
NOOKSACK VALLEY SCHOOL DISTRICT,2013-14,141,89.4%,0.7%,8.5%,1.4%,0.7%,0.7%,0.0%,0.0%,92.9%,92.9%,96.5%,94.3%,95.0%,95.0%,126,1,12,2,1,1,0,0,10,10,5,8,7,7
NORTH BEACH SCHOOL DISTRICT,2013-14,49,95.9%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.9%,95.9%,95.9%,95.9%,100.0%,95.9%,47,2,0,0,0,0,0,0,2,2,2,2,0,2
NORTH FRANKLIN SCHOOL DISTRICT,2013-14,145,86.2%,1.4%,11.7%,0.7%,0.0%,0.7%,0.0%,0.0%,91.0%,91.0%,89.7%,90.3%,94.5%,91.0%,125,2,17,1,0,1,0,0,13,13,15,14,8,13
NORTH KITSAP SCHOOL DISTRICT,2013-14,374,79.7%,2.4%,12.8%,5.1%,1.3%,3.7%,0.0%,0.0%,85.8%,85.8%,86.4%,85.6%,90.9%,84.0%,298,9,48,19,5,14,0,0,53,53,51,54,34,60
NORTH MASON SCHOOL DISTRICT,2013-14,123,92.7%,2.4%,1.6%,3.3%,0.8%,2.4%,0.0%,0.0%,94.3%,94.3%,95.9%,95.9%,97.6%,95.1%,114,3,2,4,1,3,0,0,7,7,5,5,3,6
NORTH RIVER SCHOOL DISTRICT,2013-14,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH THURSTON PUBLIC SCHOOLS,2013-14,1139,72.5%,1.6%,23.8%,2.1%,0.7%,1.2%,0.2%,0.0%,83.9%,83.9%,86.5%,80.9%,90.2%,85.2%,826,18,271,24,8,14,2,0,183,183,154,217,112,169
NORTHPORT SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTHSHORE SCHOOL DISTRICT,2013-14,1584,87.8%,2.0%,3.3%,6.9%,1.8%,5.4%,0.0%,0.2%,93.2%,93.2%,92.6%,92.5%,92.7%,91.2%,1390,32,52,110,28,86,0,3,108,107,117,119,115,139
OAK HARBOR SCHOOL DISTRICT,2013-14,510,81.2%,2.4%,12.7%,3.7%,1.8%,2.0%,0.4%,0.0%,86.7%,86.7%,86.7%,86.5%,93.5%,90.6%,414,12,65,19,9,10,2,0,68,68,68,69,33,48
OAKESDALE SCHOOL DISTRICT,2013-14,6,66.7%,0.0%,16.7%,16.7%,0.0%,16.7%,0.0%,0.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,4,0,1,1,0,1,0,0,1,1,1,1,1,1
OAKVILLE SCHOOL DISTRICT,2013-14,14,78.6%,0.0%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,92.9%,85.7%,92.9%,100.0%,78.6%,11,0,3,0,0,0,0,0,1,1,2,1,0,3
OCEAN BEACH SCHOOL DISTRICT,2013-14,81,88.9%,2.5%,4.9%,3.7%,1.2%,2.5%,0.0%,0.0%,96.3%,96.3%,92.6%,95.1%,93.8%,91.4%,72,2,4,3,1,2,0,0,3,3,6,4,5,7
OCOSTA SCHOOL DISTRICT,2013-14,50,74.0%,4.0%,18.0%,4.0%,2.0%,2.0%,0.0%,0.0%,78.0%,78.0%,82.0%,80.0%,88.0%,76.0%,37,2,9,2,1,1,0,0,11,11,9,10,6,12
ODESSA SCHOOL DISTRICT,2013-14,14,85.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,92.9%,92.9%,92.9%,100.0%,85.7%,12,2,0,0,0,0,0,0,1,1,1,1,0,2
OKANOGAN SCHOOL DISTRICT,2013-14,78,91.0%,3.8%,2.6%,2.6%,0.0%,2.6%,0.0%,0.0%,96.2%,96.2%,93.6%,94.9%,96.2%,93.6%,71,3,2,2,0,2,0,0,3,3,5,4,3,5
OLYMPIA SCHOOL DISTRICT,2013-14,600,64.2%,0.8%,26.5%,8.5%,2.3%,5.2%,0.8%,0.2%,78.5%,78.3%,78.8%,74.2%,80.5%,75.5%,385,5,159,51,14,31,5,1,129,130,127,155,117,147
OMAK SCHOOL DISTRICT,2013-14,368,31.8%,0.8%,64.9%,2.4%,1.1%,0.8%,0.3%,0.3%,35.3%,35.3%,34.0%,35.6%,38.3%,33.4%,117,3,239,9,4,3,1,1,238,238,243,237,227,245
ONALASKA SCHOOL DISTRICT,2013-14,54,64.8%,1.9%,31.5%,1.9%,0.0%,1.9%,0.0%,0.0%,81.5%,79.6%,74.1%,75.9%,85.2%,68.5%,35,1,17,1,0,1,0,0,10,11,14,13,8,17
ONION CREEK SCHOOL DISTRICT,2013-14,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ORCAS ISLAND SCHOOL DISTRICT,2013-14,60,15.0%,1.7%,76.7%,6.7%,0.0%,6.7%,0.0%,0.0%,26.7%,26.7%,21.7%,23.3%,28.3%,23.3%,9,1,46,4,0,4,0,0,44,44,47,46,43,46
ORCHARD PRAIRIE SCHOOL DISTRICT,2013-14,35,48.6%,2.9%,14.3%,34.3%,2.9%,31.4%,0.0%,0.0%,60.0%,60.0%,57.1%,54.3%,57.1%,54.3%,17,1,5,12,1,11,0,0,14,14,15,16,15,16
ORIENT SCHOOL DISTRICT,2013-14,11,45.5%,0.0%,45.5%,9.1%,0.0%,9.1%,0.0%,0.0%,54.5%,54.5%,54.5%,63.6%,90.9%,63.6%,5,0,5,1,0,1,0,0,5,5,5,4,1,4
ORONDO SCHOOL DISTRICT,2013-14,20,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,20,0,0,0,0,0,0,0,0,0,0,0,0,0
OROVILLE SCHOOL DISTRICT,2013-14,49,91.8%,0.0%,0.0%,8.2%,0.0%,8.2%,0.0%,0.0%,95.9%,95.9%,95.9%,95.9%,95.9%,93.9%,45,0,0,4,0,4,0,0,2,2,2,2,2,3
ORTING SCHOOL DISTRICT,2013-14,178,93.3%,1.7%,0.0%,5.1%,1.7%,3.4%,0.0%,0.0%,96.1%,96.1%,97.2%,97.2%,97.8%,96.6%,166,3,0,9,3,6,0,0,7,7,5,5,4,6
OTHELLO SCHOOL DISTRICT,2013-14,411,92.5%,0.7%,6.1%,0.7%,0.2%,0.5%,0.0%,0.0%,94.6%,94.6%,93.7%,95.1%,98.8%,93.9%,380,3,25,3,1,2,0,0,22,22,26,20,5,25
PALISADES SCHOOL DISTRICT,2013-14,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PALOUSE SCHOOL DISTRICT,2013-14,15,80.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,80.0%,80.0%,86.7%,80.0%,80.0%,80.0%,12,0,0,3,0,3,0,0,3,3,2,3,3,3
PASCO SCHOOL DISTRICT,2013-14,1512,97.7%,0.7%,0.4%,1.2%,0.1%,1.1%,0.0%,0.0%,98.7%,98.7%,98.6%,98.8%,99.1%,98.3%,1477,11,6,18,2,16,0,0,19,19,21,18,14,25
PATEROS SCHOOL DISTRICT,2013-14,25,84.0%,0.0%,0.0%,16.0%,0.0%,0.0%,4.0%,12.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,21,0,0,4,0,0,1,3,4,4,4,4,4,4
PATERSON SCHOOL DISTRICT,2013-14,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,6,0,0,1,0,1,0,0,1,1,1,1,1,1
PE ELL SCHOOL DISTRICT,2013-14,20,95.0%,0.0%,0.0%,5.0%,0.0%,5.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%,19,0,0,1,0,1,0,0,0,0,0,0,0,1
PENINSULA SCHOOL DISTRICT,2013-14,584,91.3%,1.7%,0.2%,6.8%,1.0%,5.3%,0.3%,0.5%,94.5%,95.0%,94.5%,94.5%,94.7%,93.3%,533,10,1,40,6,31,2,3,32,29,32,32,31,39
PIONEER SCHOOL DISTRICT,2013-14,77,83.1%,0.0%,13.0%,3.9%,1.3%,2.6%,0.0%,0.0%,89.6%,89.6%,89.6%,89.6%,92.2%,85.7%,64,0,10,3,1,2,0,0,8,8,8,8,6,11
POMEROY SCHOOL DISTRICT,2013-14,58,82.8%,13.8%,0.0%,3.4%,0.0%,3.4%,0.0%,0.0%,86.2%,86.2%,89.7%,82.8%,89.7%,86.2%,48,8,0,2,0,2,0,0,8,8,6,10,6,8
PORT ANGELES SCHOOL DISTRICT,2013-14,268,81.0%,6.0%,6.7%,6.3%,0.7%,5.6%,0.0%,0.0%,86.6%,86.6%,86.9%,86.2%,88.8%,85.4%,217,16,18,17,2,15,0,0,36,36,35,37,30,39
PORT TOWNSEND SCHOOL DISTRICT,2013-14,81,67.9%,6.2%,23.5%,2.5%,1.2%,1.2%,0.0%,0.0%,84.0%,84.0%,79.0%,84.0%,93.8%,75.3%,55,5,19,2,1,1,0,0,13,13,17,13,5,20
PRESCOTT SCHOOL DISTRICT,2013-14,9,66.7%,11.1%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,88.9%,88.9%,88.9%,77.8%,77.8%,6,1,2,0,0,0,0,0,1,1,1,1,2,2
PROSSER SCHOOL DISTRICT,2013-14,191,99.0%,0.0%,0.0%,1.0%,1.0%,0.0%,0.0%,0.0%,99.5%,99.5%,100.0%,99.5%,99.5%,99.5%,189,0,0,2,2,0,0,0,1,1,0,1,1,1
PULLMAN SCHOOL DISTRICT,2013-14,247,77.7%,2.0%,17.0%,3.2%,0.0%,3.2%,0.0%,0.0%,90.7%,90.7%,89.9%,87.0%,89.1%,87.9%,192,5,42,8,0,8,0,0,23,23,25,32,27,30
PUYALLUP SCHOOL DISTRICT,2013-14,1553,88.0%,2.3%,4.0%,5.7%,1.0%,5.3%,0.1%,0.2%,93.8%,97.5%,94.1%,93.2%,94.1%,92.5%,1367,36,62,88,16,82,2,3,97,39,91,106,91,116
QUEETS-CLEARWATER SCHOOL DISTRICT,2013-14,5,60.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,80.0%,80.0%,80.0%,80.0%,3,0,2,0,0,0,0,0,2,2,1,1,1,1
QUILCENE SCHOOL DISTRICT,2013-14,15,66.7%,13.3%,13.3%,6.7%,0.0%,6.7%,0.0%,0.0%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,10,2,2,1,0,1,0,0,5,0,0,0,0,0
QUILLAYUTE VALLEY SCHOOL DISTRICT,2013-14,89,77.5%,5.6%,16.9%,0.0%,0.0%,0.0%,0.0%,0.0%,84.3%,84.3%,83.1%,83.1%,89.9%,79.8%,69,5,15,0,0,0,0,0,14,14,15,15,9,18
QUINCY SCHOOL DISTRICT,2013-14,271,97.0%,0.0%,2.2%,0.7%,0.0%,0.0%,0.7%,0.0%,97.4%,97.4%,97.4%,97.4%,99.3%,97.4%,263,0,6,2,0,0,2,0,7,7,7,7,2,7
RAINIER SCHOOL DISTRICT,2013-14,63,68.3%,0.0%,20.6%,11.1%,4.8%,6.3%,0.0%,0.0%,79.4%,79.4%,82.5%,82.5%,82.5%,74.6%,43,0,13,7,3,4,0,0,13,13,11,11,11,16
RAYMOND SCHOOL DISTRICT,2013-14,45,88.9%,0.0%,8.9%,2.2%,2.2%,0.0%,0.0%,0.0%,91.1%,91.1%,93.3%,91.1%,93.3%,91.1%,40,0,4,1,1,0,0,0,4,4,3,4,3,4
REARDAN-EDWALL SCHOOL DISTRICT,2013-14,42,61.9%,2.4%,21.4%,14.3%,4.8%,7.1%,2.4%,0.0%,81.0%,81.0%,78.6%,78.6%,85.7%,69.0%,26,1,9,6,2,3,1,0,8,8,9,9,6,13
RENTON SCHOOL DISTRICT,2013-14,1422,93.0%,1.5%,1.5%,3.9%,1.1%,2.3%,0.4%,0.4%,95.9%,95.9%,96.2%,95.5%,96.8%,95.4%,1322,22,22,56,15,33,5,5,58,59,54,64,46,65
REPUBLIC SCHOOL DISTRICT,2013-14,22,63.6%,9.1%,18.2%,9.1%,9.1%,4.5%,0.0%,0.0%,81.8%,81.8%,81.8%,77.3%,90.9%,77.3%,14,2,4,2,2,1,0,0,4,4,4,5,2,5
RICHLAND SCHOOL DISTRICT,2013-14,936,88.6%,1.2%,6.0%,4.3%,0.9%,3.2%,0.1%,0.1%,93.3%,93.3%,93.4%,93.4%,94.9%,92.7%,829,11,56,40,8,30,1,1,63,63,62,62,48,68
RIDGEFIELD SCHOOL DISTRICT,2013-14,163,86.5%,1.2%,6.7%,5.5%,1.8%,3.7%,0.0%,0.0%,89.6%,89.0%,87.7%,88.3%,90.2%,87.7%,141,2,11,9,3,6,0,0,17,18,20,19,16,20
RITZVILLE SCHOOL DISTRICT,2013-14,33,57.6%,0.0%,30.3%,12.1%,0.0%,12.1%,0.0%,0.0%,57.6%,57.6%,63.6%,63.6%,84.8%,63.6%,19,0,10,4,0,4,0,0,14,14,12,12,5,12
RIVERSIDE SCHOOL DISTRICT,2013-14,88,79.5%,1.1%,13.6%,5.7%,0.0%,4.5%,1.1%,0.0%,88.6%,88.6%,87.5%,86.4%,89.8%,84.1%,70,1,12,5,0,4,1,0,10,10,11,12,9,14
RIVERVIEW SCHOOL DISTRICT,2013-14,234,69.2%,4.7%,18.8%,7.3%,2.1%,5.1%,0.0%,0.0%,84.6%,87.6%,82.5%,81.6%,87.6%,83.3%,162,11,44,17,5,12,0,0,36,29,41,43,29,39
ROCHESTER SCHOOL DISTRICT,2013-14,164,4.3%,0.0%,93.9%,1.8%,1.8%,0.0%,0.0%,0.0%,7.3%,7.3%,7.9%,6.7%,9.1%,5.5%,7,0,154,3,3,0,0,0,152,152,151,153,149,155
ROOSEVELT SCHOOL DISTRICT,2013-14,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSALIA SCHOOL DISTRICT,2013-14,12,58.3%,0.0%,33.3%,8.3%,0.0%,8.3%,0.0%,0.0%,91.7%,91.7%,83.3%,83.3%,91.7%,75.0%,7,0,4,1,0,1,0,0,1,1,2,2,1,3
ROYAL SCHOOL DISTRICT,2013-14,153,99.3%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,99.3%,99.3%,99.3%,99.3%,100.0%,99.3%,152,0,1,0,0,0,0,0,1,1,1,1,0,1
SAN JUAN ISLAND SCHOOL DISTRICT,2013-14,44,75.0%,4.5%,9.1%,11.4%,6.8%,2.3%,2.3%,0.0%,86.4%,86.4%,88.6%,81.8%,81.8%,84.1%,33,2,4,5,3,1,1,0,6,6,5,8,8,7
