County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Jackson,BUTTE FALLS CHARTER ELEMENTARY,FULL SCHOOL GRADES K-12,135,131,97%,131,97%,129,96%,130,96%,130,96%,130,96%,135,126,93%,124,92%,9,7%,4,3%,4,3%,6,4%,5,4%,5,4%,5,4%,5,4%,9,7%,3,2%,0,0%,0,0%,0
Jackson,Butte Falls Charter High School,FULL SCHOOL GRADES K-12,88,82,93%,82,93%,82,93%,82,93%,81,92%,82,93%,57,51,89%,81,92%,5,6%,5,6%,5,6%,5,6%,5,6%,5,6%,5,6%,5,6%,5,9%,5,6%,0,0%,1,1%,0
Jackson,CASCADE CHRISTIAN JUNIOR AND SENIOR HIGH SCHOOL,FULL SCHOOL GRADES K-12,371,360,97%,358,96%,361,97%,360,97%,360,97%,360,97%,258,249,97%,350,94%,13,4%,11,3%,12,3%,10,3%,11,3%,11,3%,11,3%,11,3%,8,3%,8,2%,0,0%,0,0%,0
Jackson,CENTRAL MEDFORD HIGH SCHOOL,FULL SCHOOL GRADES K-12,237,230,97%,236,100%,236,100%,236,100%,235,99%,237,100%,23,22,96%,229,97%,4,2%,4,2%,1,0%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,1%,0
Jackson,CENTRAL POINT ELEMENTARY,FULL SCHOOL GRADES K-12,563,537,95%,537,95%,544,97%,544,97%,536,95%,545,97%,563,538,96%,529,94%,20,4%,18,3%,17,3%,11,2%,18,3%,12,2%,12,2%,12,2%,14,2%,11,2%,0,0%,1,0%,0
Jackson,CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES,FULL SCHOOL GRADES K-12,418,411,98%,416,100%,416,100%,416,100%,416,100%,415,99%,222,220,99%,411,98%,6,1%,5,1%,2,0%,2,0%,3,1%,3,1%,3,1%,3,1%,2,1%,2,0%,0,0%,0,0%,0
Jackson,CRATER LAKE CHARTER ACADEMY,FULL SCHOOL GRADES K-12,299,265,89%,275,92%,275,92%,279,93%,269,90%,277,93%,230,206,90%,256,86%,40,13%,32,11%,24,8%,22,7%,30,10%,20,7%,20,7%,22,7%,24,10%,18,6%,0,0%,0,0%,0
Jackson,"CRATER SCHOOL OF BUSINESS, INNOVATION & SCIENCE",FULL SCHOOL GRADES K-12,423,411,97%,416,98%,420,99%,420,99%,415,98%,420,99%,212,207,98%,406,96%,15,4%,12,3%,7,2%,3,1%,6,1%,3,1%,3,1%,3,1%,5,2%,2,0%,0,0%,0,0%,101
Jackson,CRATER'S RENAISSANCE ACADEMY,FULL SCHOOL GRADES K-12,440,423,96%,427,97%,426,97%,429,98%,425,97%,431,98%,232,220,95%,418,95%,16,4%,14,3%,9,2%,10,2%,14,3%,10,2%,10,2%,8,2%,10,4%,6,1%,0,0%,1,0%,73
Jackson,EAGLE POINT HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,027",982,96%,"1,010",98%,"1,005",98%,"1,016",99%,"1,007",98%,"1,013",99%,542,524,97%,968,94%,24,2%,21,2%,10,1%,10,1%,10,1%,6,1%,6,1%,8,1%,9,2%,6,1%,0,0%,3,0%,8
Jackson,EAGLE POINT MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,434,419,97%,423,97%,425,98%,427,98%,422,97%,426,98%,434,418,96%,412,95%,15,3%,10,2%,8,2%,7,2%,9,2%,6,1%,6,1%,6,1%,12,3%,6,1%,0,0%,3,1%,7
Jackson,EAGLE ROCK ELEMENTARY,FULL SCHOOL GRADES K-12,345,324,94%,324,94%,333,97%,333,97%,322,93%,329,95%,345,322,93%,312,90%,23,7%,16,5%,18,5%,11,3%,19,6%,11,3%,11,3%,15,4%,18,5%,8,2%,0,0%,4,1%,0
Jackson,Exceptional Students Program,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,GRACE CHRISTIAN,FULL SCHOOL GRADES K-12,253,220,87%,216,85%,236,93%,216,85%,216,85%,216,85%,253,219,87%,216,85%,36,14%,33,13%,36,14%,17,7%,36,14%,36,14%,36,14%,36,14%,36,14%,17,7%,0,0%,1,0%,0
Jackson,GRIFFIN CREEK ELEMENTARY,FULL SCHOOL GRADES K-12,582,543,93%,550,95%,548,94%,554,95%,544,93%,547,94%,582,547,94%,532,91%,43,7%,36,6%,32,5%,31,5%,38,7%,28,5%,28,5%,32,5%,30,5%,24,4%,0,0%,3,1%,0
Jackson,Hanby Middle School,FULL SCHOOL GRADES K-12,320,299,93%,299,93%,305,95%,305,95%,301,94%,305,95%,320,301,94%,286,89%,24,8%,21,7%,21,7%,15,5%,19,6%,15,5%,15,5%,15,5%,19,6%,15,5%,0,0%,0,0%,1
Jackson,HARVEST CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,60,55,92%,53,88%,52,87%,54,90%,54,90%,55,92%,60,54,90%,52,87%,8,13%,5,8%,7,12%,8,13%,6,10%,6,10%,6,10%,5,8%,6,10%,4,7%,0,0%,0,0%,7
Jackson,HEDRICK MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,"1,030",978,95%,991,96%,998,97%,"1,000",97%,993,96%,"1,001",97%,"1,030","1,003",97%,966,94%,51,5%,47,5%,36,3%,30,3%,36,3%,29,3%,29,3%,28,3%,20,2%,12,1%,0,0%,3,0%,0
Jackson,HELMAN ELEMENTARY,FULL SCHOOL GRADES K-12,340,279,82%,275,81%,282,83%,291,86%,273,80%,270,79%,340,267,79%,252,74%,80,24%,58,17%,61,18%,56,16%,64,19%,47,14%,47,14%,66,19%,68,20%,40,12%,2,1%,0,0%,0
Jackson,HILLSIDE ELEMENTARY,FULL SCHOOL GRADES K-12,502,471,94%,471,94%,485,97%,486,97%,474,94%,476,95%,502,475,95%,461,92%,35,7%,29,6%,29,6%,17,3%,27,5%,16,3%,16,3%,25,5%,24,5%,15,3%,0,0%,2,0%,0
Jackson,HOOVER ELEMENTARY,FULL SCHOOL GRADES K-12,720,681,95%,684,95%,695,97%,697,97%,681,95%,692,96%,720,686,95%,672,93%,44,6%,36,5%,35,5%,25,3%,39,5%,23,3%,23,3%,28,4%,31,4%,19,3%,0,0%,2,0%,0
Jackson,HOWARD ELEMENTARY,FULL SCHOOL GRADES K-12,420,401,95%,403,96%,403,96%,410,98%,405,96%,409,97%,420,403,96%,395,94%,23,5%,17,4%,16,4%,16,4%,15,4%,10,2%,10,2%,10,2%,15,4%,9,2%,0,0%,0,0%,0
Jackson,"Integrity DayCare, Inc.",FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,JACKSON ELEMENTARY,FULL SCHOOL GRADES K-12,364,353,97%,354,97%,356,98%,356,98%,353,97%,356,98%,364,347,95%,345,95%,12,3%,11,3%,10,3%,8,2%,11,3%,8,2%,7,2%,8,2%,10,3%,6,2%,0,0%,0,0%,0
Jackson,JACKSONVILLE ELEMENTARY,FULL SCHOOL GRADES K-12,435,376,86%,381,88%,388,89%,395,91%,384,88%,388,89%,435,385,89%,367,84%,59,14%,56,13%,52,12%,45,10%,50,11%,40,9%,40,9%,46,11%,47,11%,35,8%,0,0%,2,0%,0
Jackson,JEFFERSON ELEMENTARY,FULL SCHOOL GRADES K-12,438,421,96%,422,96%,423,97%,425,97%,423,97%,422,96%,438,422,96%,417,95%,20,5%,17,4%,16,4%,15,3%,15,3%,13,3%,13,3%,16,4%,15,3%,10,2%,0,0%,0,0%,0
Jackson,JEWETT ELEMENTARY,FULL SCHOOL GRADES K-12,623,594,95%,594,95%,594,95%,594,95%,594,95%,594,95%,623,594,95%,594,95%,29,5%,29,5%,29,5%,29,5%,29,5%,29,5%,29,5%,29,5%,29,5%,29,5%,0,0%,0,0%,0
Jackson,John Muir Elementary,FULL SCHOOL GRADES K-12,125,71,57%,70,56%,73,58%,81,65%,71,57%,69,55%,125,67,54%,59,47%,63,50%,53,42%,53,42%,52,42%,52,42%,44,35%,44,35%,55,44%,56,45%,42,34%,0,0%,0,0%,0
Jackson,KENNEDY ELEMENTARY,FULL SCHOOL GRADES K-12,587,560,95%,561,96%,563,96%,564,96%,559,95%,564,96%,587,555,95%,551,94%,28,5%,26,4%,25,4%,23,4%,26,4%,22,4%,22,4%,22,4%,25,4%,20,3%,0,0%,2,0%,0
Jackson,KIDS UNLIMITED ACADEMY PUBLIC CHARTER SCHOOL,FULL SCHOOL GRADES K-12,424,397,94%,410,97%,414,98%,416,98%,414,98%,412,97%,424,411,97%,390,92%,4,1%,3,1%,2,0%,3,1%,2,0%,2,0%,2,0%,3,1%,2,0%,2,0%,5,1%,2,0%,0
Jackson,LAKE CREEK LEARNING CENTER,FULL SCHOOL GRADES K-12,45,43,96%,42,93%,43,96%,40,89%,39,87%,41,91%,45,41,91%,36,80%,8,18%,2,4%,3,7%,2,4%,6,13%,5,11%,5,11%,3,7%,4,9%,1,2%,0,0%,0,0%,0
Jackson,LITTLE RED BARN MONTESSORI,FULL SCHOOL GRADES K-12,10,9,90%,9,90%,9,90%,9,90%,9,90%,9,90%,10,9,90%,9,90%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,10%,0
Jackson,Logos Public Charter School,FULL SCHOOL GRADES K-12,938,685,73%,720,77%,749,80%,756,81%,716,76%,734,78%,788,602,76%,659,70%,270,29%,250,27%,223,24%,188,20%,222,24%,182,19%,182,19%,200,21%,182,23%,154,16%,0,0%,0,0%,0
Jackson,LONE PINE ELEMENTARY,FULL SCHOOL GRADES K-12,594,569,96%,566,95%,574,97%,573,96%,561,94%,563,95%,594,560,94%,548,92%,40,7%,23,4%,27,5%,19,3%,32,5%,20,3%,20,3%,30,5%,29,5%,16,3%,0,0%,2,0%,0
Jackson,MADRONE TRAIL PUBLIC CHARTER SCHOOL,FULL SCHOOL GRADES K-12,212,120,57%,123,58%,134,63%,140,66%,131,62%,133,63%,212,146,69%,110,52%,93,44%,87,41%,84,40%,76,36%,80,38%,71,33%,71,33%,77,36%,64,30%,54,25%,1,0%,1,0%,0
Jackson,MAE RICHARDSON ELEMENTARY,FULL SCHOOL GRADES K-12,614,586,95%,586,95%,592,96%,591,96%,585,95%,590,96%,614,586,95%,580,94%,28,5%,26,4%,26,4%,18,3%,23,4%,19,3%,19,3%,21,3%,24,4%,17,3%,0,0%,0,0%,0
Jackson,MCLOUGHLIN MIDDLE,FULL SCHOOL GRADES K-12,901,870,97%,884,98%,888,99%,890,99%,883,98%,888,99%,901,883,98%,862,96%,31,3%,27,3%,15,2%,12,1%,16,2%,11,1%,11,1%,12,1%,11,1%,7,1%,0,0%,2,0%,0
Jackson,Medford Montessori,FULL SCHOOL GRADES K-12,113,105,93%,105,93%,105,93%,105,93%,105,93%,105,93%,89,81,91%,105,93%,8,7%,8,7%,8,7%,8,7%,8,7%,8,7%,8,7%,8,7%,8,9%,8,7%,0,0%,0,0%,0
Jackson,MEDFORD OPPORTUNITY HIGH SCHOOL,FULL SCHOOL GRADES K-12,37,30,81%,33,89%,33,89%,34,92%,34,92%,33,89%,17,16,94%,29,78%,2,5%,2,5%,0,0%,0,0%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%,3,8%,1,3%,0
Jackson,NEW DIMENSION CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,32,27,84%,27,84%,27,84%,27,84%,27,84%,27,84%,32,27,84%,27,84%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,0,0%,0,0%,0
Jackson,New Heights Christian School,FULL SCHOOL GRADES K-12,26,18,69%,18,69%,22,85%,23,88%,19,73%,21,81%,26,20,77%,17,65%,6,23%,6,23%,6,23%,4,15%,6,23%,3,12%,3,12%,5,19%,6,23%,3,12%,0,0%,0,0%,0
Jackson,NORTH MEDFORD HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,571","1,522",97%,"1,542",98%,"1,541",98%,"1,549",99%,"1,540",98%,"1,544",98%,894,871,97%,"1,502",96%,56,4%,45,3%,28,2%,30,2%,31,2%,22,1%,22,1%,26,2%,14,2%,11,1%,0,0%,3,0%,0
Jackson,OAK GROVE ELEMENTARY,FULL SCHOOL GRADES K-12,533,512,96%,509,95%,514,96%,514,96%,509,95%,513,96%,533,507,95%,499,94%,26,5%,21,4%,21,4%,18,3%,23,4%,19,4%,19,4%,18,3%,23,4%,17,3%,0,0%,1,0%,0
Jackson,Orchard Hill Elementary,FULL SCHOOL GRADES K-12,424,402,95%,402,95%,403,95%,397,94%,397,94%,406,96%,424,396,93%,387,91%,28,7%,21,5%,22,5%,21,5%,26,6%,26,6%,26,6%,18,4%,23,5%,16,4%,0,0%,1,0%,0
Jackson,PATRICK ELEMENTARY,FULL SCHOOL GRADES K-12,255,238,93%,235,92%,237,93%,239,94%,235,92%,238,93%,255,235,92%,231,91%,21,8%,16,6%,19,7%,16,6%,19,7%,15,6%,15,6%,16,6%,19,7%,11,4%,0,0%,0,0%,0
Jackson,PHOENIX ELEMENTARY,FULL SCHOOL GRADES K-12,369,354,96%,352,95%,355,96%,352,95%,352,95%,354,96%,369,354,96%,351,95%,18,5%,15,4%,17,5%,14,4%,17,5%,17,5%,17,5%,15,4%,15,4%,14,4%,0,0%,0,0%,0
Jackson,PHOENIX HIGH SCHOOL,FULL SCHOOL GRADES K-12,632,617,98%,619,98%,617,98%,621,98%,621,98%,624,99%,319,311,97%,607,96%,18,3%,15,2%,13,2%,10,2%,11,2%,11,2%,11,2%,8,1%,8,3%,8,1%,0,0%,0,0%,0
Jackson,PINEHURST SCHOOL,FULL SCHOOL GRADES K-12,16,13,81%,12,75%,13,81%,13,81%,13,81%,12,75%,16,13,81%,11,69%,5,31%,3,19%,4,25%,3,19%,3,19%,3,19%,3,19%,4,25%,3,19%,2,13%,0,0%,0,0%,0
Jackson,PROSPECT CHARTER SCHOOL,FULL SCHOOL GRADES K-12,227,224,99%,224,99%,224,99%,224,99%,224,99%,224,99%,205,204,100%,224,99%,2,1%,2,1%,2,1%,2,1%,2,1%,2,1%,2,1%,2,1%,1,0%,1,0%,0,0%,1,0%,0
Jackson,RIVER'S EDGE ACADEMY CHARTER SCHOOL,FULL SCHOOL GRADES K-12,184,140,76%,146,79%,152,83%,151,82%,149,81%,145,79%,132,96,73%,130,71%,47,26%,38,21%,36,20%,31,17%,34,18%,32,17%,32,17%,34,18%,34,26%,22,12%,1,1%,0,0%,0
Jackson,ROGUE RIVER ELEMENTARY,FULL SCHOOL GRADES K-12,477,448,94%,448,94%,448,94%,448,94%,448,94%,448,94%,477,453,95%,448,94%,28,6%,25,5%,24,5%,20,4%,17,4%,21,4%,17,4%,23,5%,24,5%,16,3%,0,0%,1,0%,0
Jackson,ROGUE RIVER JUNIOR SENIOR HIGH,FULL SCHOOL GRADES K-12,354,325,92%,338,95%,343,97%,342,97%,340,96%,342,97%,239,227,95%,321,91%,29,8%,24,7%,16,5%,14,4%,12,3%,12,3%,12,3%,12,3%,15,6%,9,3%,0,0%,2,1%,0
Jackson,ROGUE VALLEY ADVENTIST SCHOOL,FULL SCHOOL GRADES K-12,133,117,88%,117,88%,117,88%,117,88%,117,88%,117,88%,121,105,87%,117,88%,16,12%,16,12%,16,12%,16,12%,16,12%,16,12%,16,12%,16,12%,16,13%,16,12%,0,0%,0,0%,0
Jackson,ROOSEVELT ELEMENTARY,FULL SCHOOL GRADES K-12,423,403,95%,405,96%,410,97%,412,97%,407,96%,410,97%,423,399,94%,395,93%,22,5%,18,4%,17,4%,13,3%,16,4%,11,3%,11,3%,13,3%,18,4%,11,3%,0,0%,0,0%,0
Jackson,RUCH ELEMENTARY,FULL SCHOOL GRADES K-12,216,163,75%,166,77%,174,81%,178,82%,169,78%,166,77%,216,161,75%,153,71%,60,28%,53,25%,50,23%,42,19%,47,22%,38,18%,38,18%,48,22%,50,23%,36,17%,0,0%,1,0%,0
Jackson,SACRED HEART CATHOLIC SCHOOL,FULL SCHOOL GRADES K-12,196,189,96%,189,96%,189,96%,189,96%,189,96%,189,96%,196,189,96%,189,96%,5,3%,4,2%,4,2%,5,3%,5,3%,5,3%,5,3%,4,2%,4,2%,4,2%,0,0%,2,1%,0
Jackson,SAMS VALLEY ELEMENTARY,FULL SCHOOL GRADES K-12,297,284,96%,283,95%,284,96%,283,95%,283,95%,283,95%,297,284,96%,283,95%,14,5%,13,4%,14,5%,13,4%,14,5%,14,5%,14,5%,14,5%,13,4%,12,4%,0,0%,0,0%,0
Jackson,SCENIC MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,853,799,94%,820,96%,828,97%,830,97%,816,96%,829,97%,853,819,96%,784,92%,29,3%,24,3%,18,2%,13,2%,16,2%,13,2%,13,2%,14,2%,19,2%,13,2%,0,0%,1,0%,1
Jackson,SHADY COVE SCHOOL,FULL SCHOOL GRADES K-12,261,238,91%,243,93%,247,95%,248,95%,242,93%,245,94%,261,241,92%,232,89%,21,8%,19,7%,17,7%,13,5%,19,7%,13,5%,13,5%,13,5%,16,6%,12,5%,0,0%,3,1%,0
Jackson,SHADY POINT SDA SCHOOL,FULL SCHOOL GRADES K-12,12,8,67%,8,67%,8,67%,8,67%,8,67%,8,67%,12,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,4,33%,1,8%,0,0%,0
Jackson,SISKIYOU SCHOOL,FULL SCHOOL GRADES K-12,180,55,31%,55,31%,55,31%,55,31%,55,31%,55,31%,180,55,31%,55,31%,125,69%,125,69%,125,69%,125,69%,125,69%,125,69%,125,69%,125,69%,125,69%,102,57%,0,0%,0,0%,0
Jackson,SO OR EDUCATIONAL SERVICE DISTRICT,FULL SCHOOL GRADES K-12,43,40,93%,40,93%,40,93%,42,98%,40,93%,40,93%,21,21,100%,40,93%,3,7%,3,7%,3,7%,3,7%,1,2%,3,7%,3,7%,3,7%,3,14%,1,2%,0,0%,0,0%,0
Jackson,SOUTH MEDFORD HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,742","1,670",96%,"1,695",97%,"1,696",97%,"1,704",98%,"1,695",97%,"1,693",97%,947,917,97%,"1,652",95%,78,4%,66,4%,48,3%,45,3%,47,3%,37,2%,38,2%,47,3%,23,2%,28,2%,0,0%,4,0%,0
Jackson,South Valley Academy,FULL SCHOOL GRADES K-12,42,34,81%,36,86%,36,86%,36,86%,36,86%,36,86%,22,17,77%,34,81%,8,19%,4,10%,6,14%,6,14%,6,14%,6,14%,6,14%,6,14%,5,23%,2,5%,0,0%,0,0%,0
Jackson,ST JOHN LUTHERAN SCHOOL,FULL SCHOOL GRADES K-12,16,15,94%,15,94%,14,88%,14,88%,14,88%,13,81%,16,14,88%,12,75%,4,25%,1,6%,1,6%,2,13%,2,13%,2,13%,2,13%,3,19%,2,13%,0,0%,0,0%,0,0%,0
Jackson,ST MARY'S SCHOOL,FULL SCHOOL GRADES K-12,506,486,96%,489,97%,490,97%,484,96%,484,96%,489,97%,330,311,94%,478,94%,27,5%,20,4%,15,3%,16,3%,21,4%,21,4%,21,4%,17,3%,19,6%,11,2%,0,0%,1,0%,0
Jackson,TABLEROCK ELEMENTARY,FULL SCHOOL GRADES K-12,789,759,96%,755,96%,767,97%,764,97%,759,96%,769,97%,789,757,96%,741,94%,17,2%,15,2%,14,2%,11,1%,14,2%,12,2%,12,2%,14,2%,14,2%,10,1%,3,0%,1,0%,0
Jackson,TALENT ELEMENTARY,FULL SCHOOL GRADES K-12,453,399,88%,400,88%,402,89%,397,88%,397,88%,399,88%,453,399,88%,388,86%,57,13%,53,12%,52,11%,50,11%,55,12%,55,12%,55,12%,53,12%,53,12%,40,9%,0,0%,1,0%,0
Jackson,TALENT MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,588,566,96%,568,97%,572,97%,570,97%,570,97%,572,97%,588,571,97%,561,95%,27,5%,22,4%,20,3%,16,3%,18,3%,18,3%,18,3%,16,3%,17,3%,11,2%,0,0%,0,0%,0
Jackson,THE SECRET GARDEN,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Upper Rogue Center for Ed. Opp (URCEO),FULL SCHOOL GRADES K-12,68,66,97%,66,97%,67,99%,68,100%,68,100%,68,100%,13,13,100%,65,96%,2,3%,2,3%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Jackson,Valley School of Southern Oregon,FULL SCHOOL GRADES K-12,118,99,84%,103,87%,106,90%,106,90%,103,87%,104,88%,118,110,93%,97,82%,20,17%,19,16%,15,13%,12,10%,15,13%,12,10%,12,10%,14,12%,8,7%,5,4%,0,0%,0,0%,0
Jackson,WALKER ELEMENTARY,FULL SCHOOL GRADES K-12,335,269,80%,263,79%,270,81%,277,83%,270,81%,263,79%,335,260,78%,249,74%,82,24%,60,18%,69,21%,64,19%,63,19%,57,17%,57,17%,69,21%,71,21%,50,15%,0,0%,2,1%,0
Jackson,WASHINGTON ELEMENTARY,FULL SCHOOL GRADES K-12,373,361,97%,362,97%,364,98%,363,97%,361,97%,363,97%,373,361,97%,357,96%,9,2%,9,2%,9,2%,9,2%,9,2%,9,2%,9,2%,9,2%,9,2%,9,2%,0,0%,1,0%,0
Jackson,WHITE MOUNTAIN MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,342,335,98%,339,99%,341,100%,341,100%,340,99%,342,100%,342,336,98%,333,97%,6,2%,6,2%,2,1%,1,0%,2,1%,1,0%,1,0%,0,0%,3,1%,0,0%,0,0%,0,0%,0
Jackson,Willow Wind Community Learning Center,FULL SCHOOL GRADES K-12,193,124,64%,106,55%,132,68%,132,68%,113,59%,102,53%,193,102,53%,84,44%,107,55%,68,35%,86,45%,60,31%,77,40%,60,31%,60,31%,90,47%,89,46%,44,23%,0,0%,1,1%,0
Jackson,WILSON ELEMENTARY,FULL SCHOOL GRADES K-12,508,482,95%,481,95%,484,95%,488,96%,484,95%,487,96%,508,478,94%,467,92%,32,6%,26,5%,26,5%,23,5%,24,5%,20,4%,20,4%,20,4%,23,5%,18,4%,0,0%,2,0%,0
Jefferson,Ashwood Elementary,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,Big Muddy School,FULL SCHOOL GRADES K-12,17,16,94%,17,100%,17,100%,17,100%,17,100%,17,100%,17,15,88%,15,88%,2,12%,1,6%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,12%,0,0%,0,0%,0,0%,0
Jefferson,Black Butte School,FULL SCHOOL GRADES K-12,28,22,79%,22,79%,22,79%,22,79%,22,79%,22,79%,28,22,79%,22,79%,6,21%,6,21%,6,21%,6,21%,6,21%,6,21%,6,21%,6,21%,6,21%,6,21%,0,0%,0,0%,0
Jefferson,Bridges Career & Technical High School,FULL SCHOOL GRADES K-12,117,116,99%,117,100%,116,99%,117,100%,116,99%,117,100%,23,23,100%,116,99%,1,1%,1,1%,0,0%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Jefferson,Buff Elementary,FULL SCHOOL GRADES K-12,321,319,99%,319,99%,320,100%,320,100%,320,100%,319,99%,321,318,99%,317,99%,2,1%,1,0%,1,0%,1,0%,1,0%,1,0%,1,0%,1,0%,2,1%,1,0%,0,0%,0,0%,0
Jefferson,Culver Elementary School,FULL SCHOOL GRADES K-12,308,295,96%,295,96%,298,97%,300,97%,295,96%,302,98%,308,292,95%,290,94%,14,5%,13,4%,13,4%,10,3%,13,4%,7,2%,7,2%,6,2%,13,4%,5,2%,0,0%,0,0%,0
Jefferson,Culver High School,FULL SCHOOL GRADES K-12,202,194,96%,197,98%,199,99%,199,99%,196,97%,199,99%,105,102,97%,193,96%,7,3%,7,3%,4,2%,3,1%,4,2%,3,1%,3,1%,3,1%,1,1%,3,1%,0,0%,0,0%,0
Jefferson,Culver Middle School,FULL SCHOOL GRADES K-12,172,167,97%,169,98%,170,99%,170,99%,168,98%,170,99%,172,168,98%,167,97%,5,3%,5,3%,3,2%,2,1%,4,2%,2,1%,2,1%,2,1%,4,2%,2,1%,0,0%,0,0%,0
Jefferson,Jefferson County Middle School,FULL SCHOOL GRADES K-12,472,463,98%,464,98%,467,99%,471,100%,467,99%,468,99%,472,466,99%,459,97%,9,2%,7,1%,7,1%,5,1%,5,1%,1,0%,1,0%,3,1%,4,1%,1,0%,0,0%,0,0%,0
Jefferson,Madras Christian School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,Madras Elementary,FULL SCHOOL GRADES K-12,405,395,98%,396,98%,397,98%,398,98%,396,98%,399,99%,405,397,98%,395,98%,10,2%,10,2%,9,2%,8,2%,9,2%,7,2%,7,2%,6,1%,8,2%,6,1%,0,0%,0,0%,0
Jefferson,Madras High School,FULL SCHOOL GRADES K-12,625,609,97%,612,98%,617,99%,617,99%,613,98%,614,98%,347,340,98%,603,96%,19,3%,15,2%,13,2%,8,1%,11,2%,8,1%,8,1%,10,2%,7,2%,6,1%,0,0%,1,0%,0
Jefferson,Metolius Elementary School,FULL SCHOOL GRADES K-12,306,297,97%,296,97%,297,97%,299,98%,298,97%,297,97%,306,297,97%,294,96%,11,4%,8,3%,8,3%,8,3%,7,2%,6,2%,6,2%,8,3%,7,2%,6,2%,1,0%,0,0%,0
Jefferson,Palisades Christian School,FULL SCHOOL GRADES K-12,29,22,76%,23,79%,24,83%,23,79%,21,72%,23,79%,29,21,72%,20,69%,6,21%,6,21%,6,21%,5,17%,6,21%,6,21%,6,21%,6,21%,6,21%,5,17%,0,0%,0,0%,0
Jefferson,Warm Springs Academy,FULL SCHOOL GRADES K-12,631,631,100%,631,100%,631,100%,631,100%,631,100%,631,100%,631,631,100%,631,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Josephine,Allen Dale Elementary School,FULL SCHOOL GRADES K-12,492,463,94%,467,95%,470,96%,462,94%,462,94%,468,95%,492,464,94%,456,93%,34,7%,29,6%,25,5%,22,4%,30,6%,30,6%,30,6%,24,5%,26,5%,17,3%,0,0%,0,0%,0
